"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,99,99,14,199,NA,NA,211,3811,6919
"2",6,11,12,10,177,57,47,44,2757,4688
"3",10,99,11,18,183,NA,277,75,4827,5437
"4",10,8,10,14,13,57,353,211,3669,4997
"5",12,10,10,7,91,66,37,48,4710,3144
"6",9,16,17,14,129,188,162,170,4257,6878
"7",5,99,11,12,390,NA,28,80,2454,5188
"8",10,99,7,13,39,NA,78,84,4683,3174
"9",99,7,7,99,NA,13,304,NA,3109,3400
"10",9,99,16,10,292,NA,94,107,4420,4751
"11",11,12,13,10,111,55,107,9,5271,4653
"12",99,11,7,99,NA,57,290,NA,5217,3386
"13",8,99,15,12,339,NA,13,80,3951,5756
"14",8,16,17,18,22,188,162,75,3634,8418
"15",7,8,9,10,336,100,69,9,3432,4197
"16",10,99,8,14,13,NA,123,211,4657,3735
"17",99,8,7,12,NA,28,79,66,3640,3175
"18",12,99,7,99,132,NA,279,NA,5808,3375
"19",7,10,8,99,378,3,225,NA,3474,3837
"20",99,8,5,18,NA,20,111,75,3632,2175
"21",8,99,12,99,361,NA,47,NA,3973,5723
"22",8,99,9,14,245,NA,229,211,3857,4357
"23",8,6,5,9,55,28,420,32,2608,2484
"24",6,99,13,18,313,NA,47,75,2893,6239
"25",8,6,8,99,361,33,218,NA,2613,3830
"26",9,99,11,99,38,NA,18,NA,4166,5178
"27",6,99,9,12,294,NA,260,66,2874,4388
"28",8,99,10,99,69,NA,61,NA,3681,4705
"29",8,99,8,9,55,NA,192,32,3667,3804
"30",99,9,13,99,NA,108,107,NA,4236,6299
"31",10,8,11,14,13,64,278,211,3676,5438
"32",7,8,12,18,155,20,47,75,3251,5723
"33",11,8,13,8,111,100,107,64,3712,3676
"34",6,10,6,99,142,3,371,NA,2722,2951
"35",8,9,12,18,236,32,91,75,3848,5767
"36",10,6,9,12,174,41,299,66,2621,4427
"37",12,8,7,12,91,48,358,66,3660,3454
"38",6,8,9,14,324,57,50,211,2904,4178
"39",16,99,11,14,26,NA,82,170,7766,5242
"40",12,10,6,99,91,3,342,NA,4647,2922
"41",12,16,12,6,93,188,91,85,5769,2665
"42",99,8,13,18,NA,126,283,75,3738,6475
"43",16,10,99,7,26,108,NA,39,4752,3135
"44",8,99,8,99,345,NA,138,NA,3957,3750
"45",9,5,7,10,292,27,192,107,2091,3288
"46",99,10,15,12,NA,15,13,66,4659,5742
"47",7,10,11,12,398,15,330,66,3494,5490
"48",9,99,99,99,151,NA,NA,NA,4279,NA
"49",13,16,11,14,110,188,158,170,6302,5318
"50",10,11,9,10,121,57,337,44,4765,4465
"51",10,99,7,12,174,NA,398,66,4818,3494
"52",10,99,12,9,204,NA,47,32,4848,4160
"53",8,99,15,99,258,NA,13,NA,3870,7237
"54",11,9,10,99,55,23,104,NA,4151,4748
"55",99,99,99,13,NA,NA,NA,84,NA,6276
"56",9,99,16,99,11,NA,94,NA,4139,7834
"57",12,99,10,12,91,NA,37,66,5767,4681
"58",9,6,13,14,129,43,163,170,2623,6355
"59",9,10,7,12,366,15,344,66,4494,3440
"60",11,99,12,7,55,NA,47,35,5215,3131
"61",9,99,10,12,162,NA,310,80,4290,4954
"62",7,10,9,12,337,15,336,66,3433,4464
"63",99,9,13,10,NA,32,47,115,4160,4759
"64",7,9,13,9,98,32,47,102,3194,4230
"65",8,99,9,12,302,NA,42,80,3914,4170
"66",7,99,9,99,85,NA,21,NA,3181,4149
"67",7,11,11,99,287,57,46,NA,3383,5206
"68",7,8,9,12,206,28,325,66,3302,4453
"69",8,99,99,18,130,NA,NA,75,3742,8847
"70",11,99,6,13,270,NA,226,84,5430,2806
"71",99,12,15,6,NA,55,13,8,5731,2588
"72",99,16,9,18,NA,188,230,75,7928,4358
