"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,11,99,114,NA,107,NA,1662,5267
"2",6,99,8,99,319,NA,193,NA,2899,3805
"3",5,99,7,99,14,NA,62,NA,2078,3158
"4",6,99,5,99,265,NA,23,NA,2845,2087
"5",6,99,11,7,55,NA,107,55,2635,3151
"6",6,99,10,99,208,NA,257,NA,2788,4901
"7",8,99,6,99,268,NA,71,NA,3880,2651
"8",4,9,5,99,225,133,80,NA,1773,2144
"9",5,6,5,99,198,19,55,NA,2262,2119
"10",3,99,3,99,384,NA,246,NA,1416,1278
"11",6,99,5,99,125,NA,145,NA,2705,2209
"12",5,99,5,99,167,NA,113,NA,2231,2177
"13",7,99,5,99,290,NA,243,NA,3386,2307
"14",99,5,4,99,NA,79,190,NA,2143,1738
"15",10,99,7,99,241,NA,97,NA,4885,3193
"16",6,99,3,99,108,NA,104,NA,2688,1136
"17",10,6,4,99,241,57,79,NA,2637,1627
"18",5,99,8,99,168,NA,45,NA,2232,3657
"19",4,99,5,99,208,NA,220,NA,1756,2284
"20",7,99,10,8,110,NA,257,100,3206,3712
"21",5,99,5,99,205,NA,27,NA,2269,2091
"22",5,99,4,8,374,NA,71,100,2438,1619
"23",7,99,6,99,95,NA,136,NA,3191,2716
"24",5,99,5,8,146,NA,177,100,2210,2241
"25",7,5,4,99,290,79,361,NA,2143,1909
"26",5,99,7,99,60,NA,387,NA,2124,3483
"27",6,99,6,99,125,NA,274,NA,2705,2854
"28",5,99,5,99,102,NA,167,NA,2166,2231
"29",6,99,5,99,224,NA,352,NA,2804,2416
"30",99,6,4,99,NA,19,319,NA,2599,1867
"31",6,99,7,99,382,NA,387,NA,2962,3483
"32",5,99,4,99,60,NA,201,NA,2124,1749
"33",7,99,5,99,125,NA,351,NA,3221,2415
"34",4,99,3,99,232,NA,272,NA,1780,1304
"35",6,99,8,5,261,NA,222,68,2841,2132
"36",8,99,9,99,165,NA,127,NA,3777,4255
"37",5,99,4,99,78,NA,222,NA,2142,1770
"38",4,99,6,4,194,NA,42,23,1742,1571
"39",7,99,7,99,218,NA,28,NA,3314,3124
"40",99,9,8,99,NA,133,222,NA,4261,3834
"41",7,99,6,99,117,NA,80,NA,3213,2660
"42",5,99,8,6,288,NA,249,48,2352,2628
"43",6,99,5,3,270,NA,27,16,2850,1048
"44",6,99,6,99,379,NA,42,NA,2959,2622
"45",6,99,5,99,78,NA,192,NA,2658,2256
"46",5,99,8,99,81,NA,54,NA,2145,3666
"47",8,99,5,99,165,NA,119,NA,3777,2183
"48",5,99,4,8,198,NA,98,100,2262,1646
"49",6,99,6,99,265,NA,161,NA,2845,2741
"50",4,99,7,99,355,NA,125,NA,1903,3221
"51",7,99,7,5,342,NA,309,21,3438,2085
"52",7,99,7,99,180,NA,46,NA,3276,3142
"53",5,99,7,99,39,NA,263,NA,2103,3359
"54",6,99,9,99,141,NA,301,NA,2721,4429
"55",6,99,8,6,168,NA,222,62,2748,2642
"56",4,99,10,99,178,NA,303,NA,1726,4947
"57",5,6,9,99,51,19,257,NA,2115,4385
"58",6,99,9,5,241,NA,257,17,2821,2081
"59",99,7,7,99,NA,14,309,NA,3110,3405
"60",6,99,5,99,116,NA,47,NA,2696,2111
"61",5,99,3,99,67,NA,211,NA,2131,1243
"62",4,99,6,99,132,NA,399,NA,1680,2979
"63",5,99,6,99,87,NA,153,NA,2151,2733
"64",5,99,4,99,131,NA,259,NA,2195,1807
"65",5,99,4,99,251,NA,278,NA,2315,1826
"66",5,99,7,99,395,NA,80,NA,2459,3176
"67",5,99,4,99,26,NA,63,NA,2090,1611
"68",12,99,4,99,303,NA,17,NA,5979,1565
"69",6,99,6,8,128,NA,166,100,2708,2746
"70",4,99,5,99,244,NA,3,NA,1792,2067
"71",5,9,4,99,49,133,98,NA,2113,1646
"72",6,99,3,99,170,NA,282,NA,2750,1314
