Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
3,1,57,h y m n ,hymn{SPACE},1931,H u s s e i n,,0,3,4166,hussain{SPACE},3169,1,0,P,2286,4962
3,1,14,i d i o t,idiot{SPACE},1722,i d i o s y n c r a s y ,{SPACE},9663,2,913,idosyncrancy{SPACE},13113,1,0,P,2591,5248
3,1,40,i n t e r f e r e,interface{SPACE},2998,i n t e r j e c t,,0,2,1291,interject{SPACE},4262,0,0,B,2657,3410
3,1,18,J a c k s o n,jackson{SPACE},2622,J a g g e r ,{SPACE},9741,2,957,jagger{SPACE},2917,1,0,B,2629,4346
3,1,6,l i t i g a t e ,litigate{SPACE},3501,l i b e l,{SPACE},9748,2,2497,libel{SPACE},2066,1,0,B,5425,4197
3,1,10,l a c o n i c,laconic{SPACE},3471,l o q u a c i o u s ,loquacious{SPACE},7512,1,1909,loquacious{SPACE},10174,1,1,B,5197,2925
3,1,64,M e n d e l ,mendel{SPACE},2449,M a n d e l a,mendela{SPACE},7547,1,919,mandela{SPACE},3210,1,1,B,2373,3898
3,1,2,m i n i m u m,minimum{SPACE},10559,m e a g e r ,,0,2,6461,meager{SPACE},2695,1,0,B,5294,4133
3,1,5,M c C a r t n e y,macarthy{SPACE},4552,M e r c u r y,macarthy{SPACE},9001,1,4175,mercury{SPACE},2666,0,0,B,4233,5164
3,1,51,M e l v i l l e ,melville{SPACE},3469,M i l l e r ,{SPACE},6484,2,1005,miller{SPACE},2665,1,0,B,3978,2922
3,1,62,m a s h ,mash{SPACE},1294,m i n c e,diced{SPACE},8774,3,2057,mince{SPACE},1392,1,0,B,2672,2930
3,1,31,m o n o g a m y ,monogamy{SPACE},4206,m o n o t o n y ,redundant{SPACE},8508,2,1435,monotony{SPACE},2242,1,0,B,6349,4840
3,1,16,M a d o n n a,madonna{SPACE},2039,M o n r o e ,monroe{SPACE},9581,1,992,monroe{SPACE},1742,1,1,B,2973,2766
3,1,44,N i l e ,nile{SPACE},1690,N a i r o b i,na,8323,2,849,nairobi{SPACE},12219,1,0,B,2288,6964
3,1,35,n e u t r a l i z e ,neutralize{SPACE},4026,n u l l i f y,,0,2,1459,nullify{SPACE},2767,1,0,B,4726,3648
3,1,22,N a z i s,nazis{SPACE},4035,N u r e m b e r g,{SPACE},7361,2,919,nuremberg{SPACE},14713,1,0,B,3364,5350
3,1,60,o p a q u e ,opaque{SPACE},2508,o b s c u r e,{SPACE},8112,2,1204,obscure{SPACE},8117,1,0,B,2407,3185
3,1,25,o m n i s c i e n t ,omniscient{SPACE},4216,o m n i p o t e n t ,{SPACE},8969,3,4609,omnipotent{SPACE},3697,1,0,B,6725,4762
3,1,13,o b v i o u s,obvious{SPACE},3196,o s t e n t a t i o u s ,{SPACE},7268,2,1135,obtentanious{SPACE},7753,1,0,B,2382,7750
3,1,47,O s a m a,osama{SPACE},1861,O s w a l d ,,8324,2,3508,oswald{SPACE},1736,1,0,B,5784,3173
3,1,3,b i a n n u a l ,biannual{SPACE},4559,O t t a w a ,toronto,9759,3,5792,ottawa{SPACE},2703,1,0,U,6217,3146
3,1,53,c a n v a s ,canvas{SPACE},3511,p a n a c e a,{SPACE},8757,2,1093,panacea{SPACE},3746,1,0,U,2436,6287
3,1,56,c a r a v a n,caravan{SPACE},3151,p a r a g o n,,0,4,3342,paragon{SPACE},2740,1,0,U,4217,4920
3,1,63,c a m e l,camel{SPACE},1804,p o l y g a m y ,poly,9051,1,3967,polygamy{SPACE},2824,1,0,U,2794,4253
3,1,72,C h a r l e s,charles{SPACE},2402,p r e c o c i o u s ,{SPACE},8729,2,784,precocious{SPACE},3834,1,0,U,2383,6815
3,1,74,c o m m e n c e ,commence{SPACE},5419,p r o p h e c y ,prophesy,9671,2,2224,prophecy{SPACE},3464,1,1,U,3309,4434
3,1,38,g o b b l e ,gobble{SPACE},1709,S e o u l,,0,2,1048,seoul{SPACE},2380,1,0,U,2863,3643
3,1,61,H o o v e r ,hoover{SPACE},2207,S h a w ,{SPACE},7413,2,1223,shaw{SPACE},1109,1,0,U,2883,2121
3,1,68,H o l l a n d,holland{SPACE},2917,S i c i l y ,{SPACE},8315,2,817,sicily{SPACE},3051,1,0,U,2355,3838
3,1,4,h e a v e,heave{SPACE},2700,S k y w a l k e r,luke{SPACE},5622,2,7326,skywalker{SPACE},4388,1,0,U,2070,3163
3,1,67,H i t l e r ,hitler{SPACE},1716,s u r r o g a t e,surogate{SPACE},9722,1,1492,surrogate{SPACE},2897,1,1,U,2322,3883
3,1,50,i n d i v i d u a l i s m,individualism{SPACE},6141,T h o r e a u,{SPACE},8066,2,871,thoreu{SPACE},3661,1,0,U,3686,4158
3,1,42,i n v a l i d a t e ,invalidate{SPACE},5106,t i c,tic{SPACE},7072,2,1637,tic{SPACE},1571,1,1,U,4830,1338
3,1,29,B e r l i n ,berlin{SPACE},1943,t s u n a m i,tsumani{SPACE},9220,1,3289,tsunami{SPACE},5357,1,1,U,2818,5873
3,1,46,s e c r e t i v e,secretive{SPACE},2709,T u r i n g ,,0,2,1158,turing{SPACE},1773,1,0,U,2621,4431
3,1,52,u n l i m i t e d,unlimited{SPACE},3856,W a t s o n ,watson{SPACE},7818,1,957,watson{SPACE},2264,1,1,U,3281,2834
3,1,54,f l a s h y ,flashy{SPACE},1848,W a y n e,,0,4,3524,wayne{SPACE},2351,1,0,U,2849,2997
3,1,65,B o o t h,booth{SPACE},1956,Y e l l o w s t o n e,{SPACE},7871,2,755,yellowstone{SPACE},3077,1,0,U,2122,1978
5,1,18,d i g e s t ,digest{SPACE},2052,a b d i c a t e ,{SPACE},4811,2,460,abdicate{SPACE},2411,1,0,U,2837,5792
5,1,48,e c s t a t i c ,estatic{SPACE},6532,a b o r i g i n e,{SPACE},7164,2,1157,aborigine{SPACE},4830,1,0,U,3715,4672
5,1,67,e x e r c i s e ,exercise{SPACE},1974,a b s t a i n,{SPACE},3075,2,636,abstain{SPACE},2478,1,0,U,3205,5289
5,1,54,F a h r e n h e i t ,ferhienheight{SPACE},6384,a d v o c a t e ,{SPACE},6476,4,2946,advocate{SPACE},2604,1,0,U,5191,2383
5,1,33,f o l d i n g,folding{SPACE},2014,A l c o t t ,{SPACE},2249,2,1141,alcott{SPACE},1589,1,0,U,4776,3668
5,1,3,g a r n i s h,garnish{SPACE},3222,a n a c h r o n i s m,{SPACE},8747,2,1587,anachroism{SPACE},5150,1,0,U,2406,9288
5,1,64,M c C a r t n e y,{ENTER}{SHIFT}Mc{SHIFT}Cartney{SPACE},6249,a n a g r a m,{SPACE},6796,4,2137,anagram{SPACE},1855,1,0,U,5187,3981
5,1,68,M e l v i l l e ,melville{SPACE},1965,A n d e s,{SPACE},4536,2,1367,andes{SPACE},1695,1,0,U,4378,2836
5,1,35,m a s h ,mash{SPACE},1224,A u r o r a ,{SPACE},4386,2,2343,aurora{SPACE},1746,1,0,U,3205,3285
5,1,14,m o n o g a m y ,monogamy{SPACE},3573,B a n g k o k,bankock{SPACE},9416,1,4179,bangkok{SPACE},2714,1,1,U,2666,4192
5,1,13,M a d o n n a,modanna{SPACE},2575,b a r t e r ,{SPACE},7436,3,1645,barter{SPACE},1652,1,0,U,3945,2620
5,1,34,N i l e ,nile{SPACE},1499,B e c k h a m,{SPACE},5611,3,3176,beckham{SPACE},2450,1,0,U,3344,2099
5,1,73,T o k y o,toyko{SPACE},2496,b i n o m i a l ,{SPACE},5183,2,768,binomial{SPACE},3039,1,0,U,3709,3313
5,1,52,W i l d e,wilde{SPACE},1705,c a r c a s s,carcass{SPACE},4598,1,1193,carcass{SPACE},1846,1,1,U,3723,2138
5,1,41,C o r s i c a,corsica{SPACE},2777,C a r r o l l,{SPACE},2832,2,613,caroll{SPACE},1740,1,0,U,4837,3706
5,1,9,L e i a ,leia{SPACE},1396,c h a m e l e o n,chame,9687,1,4250,chamelon{SPACE},3256,1,0,U,4183,3255
5,1,32,m i d w i f e,midwife{SPACE},3128,C h u r c h i l l,{SPACE},8640,4,1214,churchill{SPACE},5417,1,0,U,2722,2108
5,1,49,E m e r s o n,emerson{SPACE},1632,C l e m e n s,{SPACE},3110,2,655,clemens{SPACE},2153,1,0,U,2449,4260
5,1,4,p a r a l l e l ,parallel{SPACE},6597,c o n g r u e n t,parallel{SPACE},5495,1,1137,congruent{SPACE},2509,1,0,R,3435,4350
5,1,69,B r o s n a n,brosnan{SPACE},2242,C o n n e r y,{SPACE},3778,2,816,connery{SPACE},2069,1,0,R,5163,3821
5,1,40,p r o t o c o l ,protocol{SPACE},3195,c o v e n a n t ,{SPACE},5072,2,422,covenant{SPACE},2958,1,0,R,2793,3430
5,1,60,H o m e r,homer{SPACE},2598,D a n t e,{SPACE},2678,2,1698,dante{SPACE},2409,1,0,R,2988,2957
5,1,56,s u r r e n d e r,surrender{SPACE},2154,d e f a u l t,sol{SPACE},6826,2,2484,default{SPACE},2115,1,0,R,3138,3835
5,1,45,c o n s u m e,consume{SPACE},3600,d e p l e t e,consume{SPACE},9683,1,1443,deplete{SPACE},4563,1,0,R,2914,2633
5,1,11,s p l i t,split{SPACE},1437,d i v e r g e,seperate{SPACE},8798,1,1236,diverge{SPACE},2015,1,0,R,2982,3743
5,1,2,b i z a r r e,bizarre{SPACE},3934,e c c e n t r i c,,0,2,2000,eccentric{SPACE},2365,1,0,R,2457,4476
5,1,19,p o s s e s s i o n ,possession{SPACE},2359,e x o r c i s m ,exersi,9791,1,1523,exercism{SPACE},4263,1,0,R,3938,1674
5,1,24,N e w t o n ,newton{SPACE},2088,F a r a d a y,watson{SPACE},7616,3,5350,farday{SPACE},1649,1,0,R,3122,3680
5,1,70,v e g e t a t i o n ,veggetation{SPACE},5496,f o l i a g e,{SPACE},6487,2,977,foliage{SPACE},3420,1,0,R,2635,2492
5,1,6,H e p b u r n,hepburn{SPACE},4735,G a r l a n d,{SPACE},5190,1,819,garland{SPACE},2683,1,0,R,3363,3807
5,1,66,p u p p y,puppy{SPACE},2600,g o s l i n g,duckling{SPACE},7527,1,1188,gosling{SPACE},2363,1,0,R,1942,2666
5,1,43,J e f f e r s o n,jefferson{SPACE},3009,H a n c o c k,{SPACE},5039,2,470,hancock{SPACE},2732,1,0,R,2284,1994
5,1,75,B u d a p e s t ,budapest{SPACE},5104,H e l s i n k i ,{SPACE},2850,2,1174,helsinki{SPACE},3555,1,0,R,4996,5259
5,1,23,d r e d g e ,dredge{SPACE},3228,h o i s t,lift{SPACE},5987,3,3522,hoist{SPACE},1777,1,0,R,4242,2368
5,1,51,S t a l i n ,stalin{SPACE},1650,H u s s e i n,{SPACE},6555,1,1036,hussein{SPACE},2090,1,0,R,3711,5308
5,1,26,u n i q u e n e s s ,uniqueness{SPACE},2436,i d i o s y n c r a s y ,{SPACE},8279,4,1047,idosyncracy{SPACE},4213,1,0,R,3649,4148
5,1,57,i m p l e m e n t,implement{SPACE},2684,i n t e r j e c t,{SPACE},5355,2,883,interject{SPACE},2723,1,0,P,3160,1671
5,1,22,J a c k m a n,jackman{SPACE},2104,J a g g e r ,{SPACE},2542,2,605,jagger{SPACE},2015,1,0,P,4138,2631
5,1,30,l a b e l,label{SPACE},1755,l i b e l,fraud{SPACE},7627,3,2116,libel{SPACE},1413,1,0,P,1694,3786
5,1,72,l o c k e t ,locket{SPACE},1725,l o q u a c i o u s ,a{SPACE},3317,2,4324,loqacious{SPACE},4501,1,0,P,2795,5714
5,1,44,M a n d a r i n ,mandarin{SPACE},1877,M a n d e l a,mandali{SPACE},9089,3,1931,mandela{SPACE},1808,1,0,P,3651,4995
5,1,59,m e d i u m ,medium{SPACE},1497,m e a g e r ,shitty{SPACE},5260,3,1669,meager{SPACE},1617,1,0,P,3145,3983
5,1,61,m u r d e r ,murder{SPACE},1745,M e r c u r y,{SPACE},6515,2,1179,mercury{SPACE},1882,1,0,P,2067,2126
5,1,55,m i l i t a r y ,military{SPACE},5188,M i l l e r ,{SPACE},4934,2,1120,miller{SPACE},1561,1,0,P,4171,2793
5,1,17,m i l k ,milk{SPACE},1599,m i n c e,mince{SPACE},4857,1,1353,mince{SPACE},1557,1,1,P,2665,3152
5,1,63,m o n o p o l y ,monoploy{SPACE},2628,m o n o t o n y ,boring{SPACE},6242,3,1412,monotomy{SPACE},3057,1,0,P,2818,5677
5,1,7,M o n a r c h,monarch{SPACE},5314,M o n r o e ,airheart{SPACE},5630,1,3771,monroe{SPACE},3376,1,0,P,2583,6877
5,1,12,n a r r a t e,nature{SPACE},1776,N a i r o b i,{SPACE},2706,2,859,nairobi{SPACE},5799,1,0,P,3414,5198
5,1,16,n u m b n e s s ,numbness{SPACE},2374,n u l l i f y,{SPACE},7054,2,1327,nulify{SPACE},2151,1,0,P,3654,2619
5,1,8,n e u r a l ,neural{SPACE},1614,N u r e m b e r g,{SPACE},6708,2,820,nuremberg{SPACE},4045,1,0,P,3326,5291
5,1,28,o b s t r u c t ,obstruct{SPACE},2592,o b s c u r e,hidden,8034,3,1909,obscure{SPACE},1833,1,0,P,3333,3107
5,1,53,o m n i v o r e ,omnivore{SPACE},2924,o m n i p o t e n t ,{SPACE},7343,4,1090,omnipotent{SPACE},4120,1,0,P,3128,3322
5,1,27,o s t e o p o r o s i s ,osteoporsis{SPACE},5401,o s t e n t a t i o u s ,{SPACE},6642,2,1252,ostenasious{SPACE},6390,1,0,P,5222,5301
5,1,71,o s m o s i s,osomosis{SPACE},4532,O s w a l d ,{SPACE},2483,2,754,oswald{SPACE},2457,1,0,P,3714,2886
5,1,37,O n t a r i o,ontario{SPACE},1875,O t t a w a ,{SPACE},2737,2,301,ottowa{SPACE},4180,1,0,B,3484,3234
5,1,74,p l a c e b o,placebo{SPACE},2800,p a n a c e a,fakenews{SPACE},6358,2,1171,panacea{SPACE},3135,1,0,B,2864,6243
5,1,15,p a r a d i g m ,paradigm{SPACE},3494,p a r a g o n,{SPACE},7630,2,2009,paragon{SPACE},2753,1,0,B,3937,3714
5,1,29,p r o m i s c u o u s,promiscious{SPACE},6911,p o l y g a m y ,monogomy{SPACE},6518,1,1007,polygomy{SPACE},2732,1,0,B,4978,2345
5,1,36,p r o d i g y,prodigy{SPACE},2901,p r e c o c i o u s ,superhuman{SPACE},7642,3,1393,precocious{SPACE},2574,1,0,B,2090,6755
5,1,38,p r o g n o s i s,prognosis{SPACE},2026,p r o p h e c y ,{SPACE},7344,4,1381,prophecy{SPACE},6242,1,0,B,2607,2733
5,1,76,S a i g o n ,saigon{SPACE},2179,S e o u l,{SPACE},1910,2,981,seoul{SPACE},3506,1,0,B,5180,3161
5,1,42,S h e l l e y,shelley{SPACE},2382,S h a w ,{SPACE},3225,2,955,shaw{SPACE},1182,1,0,B,3231,2661
5,1,62,S w i t z e r l a n d,switzerland{SPACE},5083,S i c i l y ,{SPACE},3985,2,948,sicily{SPACE},3918,1,0,B,2446,2981
5,1,65,S o l o ,solo{SPACE},1209,S k y w a l k e r,skywalker{SPACE},6358,1,1011,skywalker{SPACE},2310,1,1,B,2242,1903
5,1,50,s u b s t i t u t e ,substitute{SPACE},3722,s u r r o g a t e,surogate{SPACE},8009,1,815,surogate{SPACE},2567,1,1,B,3721,3198
5,1,21,T o l s t o y,tolsoy{SPACE},3847,T h o r e a u,emerson{SPACE},6322,1,1120,thoreau{SPACE},3043,1,0,B,5167,2116
5,1,25,t w i t c h ,twitch{SPACE},2059,t i c,twitch{SPACE},6433,1,876,tic{SPACE},1243,1,0,B,2843,2893
5,1,10,t y p h o o n,typhoon{SPACE},5163,t s u n a m i,typhoon{SPACE},4985,1,1187,tsunami{SPACE},3097,1,0,B,3289,4238
5,1,46,T e s l a,tesla{SPACE},1545,T u r i n g ,{SPACE},4390,2,1447,turing{SPACE},1895,1,0,B,2275,4770
5,1,47,W e a s l e y,weasley{SPACE},3481,W a t s o n ,watson{SPACE},4850,1,1025,watson{SPACE},1561,1,1,B,4674,2476
5,1,31,W a l k e r ,wakler{SPACE},1333,W a y n e,bruce{SPACE},7272,1,1233,wayne{SPACE},2494,1,0,B,3734,2862
5,1,5,Y o s e m i t e ,yosemite{SPACE},2509,Y e l l o w s t o n e,yosemite{SPACE},4679,1,3022,yellowstone{SPACE},3515,1,0,B,3713,3175
6,1,62,g o b l i n ,goblin{SPACE},4439,a b d i c a t e ,,0,2,1435,abdicate{SPACE},3327,1,0,U,3839,6207
6,1,13,h a n d l e ,handle{SPACE},1834,a b o r i g i n e,aboriginals{SPACE},6912,1,1143,aboringne{SPACE},10573,1,1,U,3162,5241
6,1,6,h a n d k e r c h i e f ,handkerchief{SPACE},4271,a b s t a i n,disipline{SPACE},5275,3,9562,abstain{SPACE},2887,1,0,U,3686,5191
6,1,24,h o l l y,holly{SPACE},3225,a d v o c a t e ,adver,9773,4,3104,advocate{SPACE},3120,1,0,U,3326,4296
6,1,43,h y m n ,hymn{SPACE},4139,A l c o t t ,austen{SPACE},6457,1,851,alcott{SPACE},2193,1,0,U,2959,5190
6,1,36,i d i o t,idiot{SPACE},2291,a n a c h r o n i s m,,0,4,2723,anachromism{SPACE},4144,1,0,U,3683,7326
6,1,31,n e u t r a l i z e ,neutralize{SPACE},3642,a n a g r a m,anagram,9966,1,3790,anagram{SPACE},2796,1,1,U,5288,2947
6,1,27,N a z i s,nazis{SPACE},3290,A n d e s,,0,4,574,andes{SPACE},2088,1,0,U,2724,5166
6,1,63,o p a q u e ,{INSERT}opaque{SPACE},6165,A u r o r a ,{SPACE},6041,2,869,aurora{SPACE},2887,1,0,U,4286,5702
6,1,30,o m n i s c i e n t ,omniscient{SPACE},4419,B a n g k o k,,0,4,3864,bangkok{SPACE},6874,1,0,U,7778,2394
6,1,29,o b v i o u s,obvious{SPACE},2836,b a r t e r ,barter{SPACE},5864,1,2987,barter{SPACE},2738,1,1,U,3983,2817
6,1,9,O s a m a,osama{SPACE},2195,B e c k h a m,{SPACE},2500,2,1287,beckham{SPACE},2395,1,0,U,5231,3810
6,1,75,j e r k ,jerk{SPACE},2301,b i n o m i a l ,p,9321,4,1501,binomial{SPACE},3380,1,0,U,3110,3884
6,1,57,h u r r i c a n e,hurricane{SPACE},3581,c a r c a s s,corppse{ENTER}{SPACE},7331,1,1162,carcass{SPACE},3314,1,0,U,4192,5219
6,1,65,H a w k i n g,hawking{SPACE},2614,C a r r o l l,{SPACE},4374,4,200,carroll{SPACE},3293,1,0,U,4237,4461
6,1,32,D o y l e,doyle{SPACE},2740,c h a m e l e o n,iguana{SPACE},7486,1,3258,chamelon{SPACE},6802,1,0,U,3218,4778
6,1,28,K e n t ,kent{SPACE},2238,C h u r c h i l l,{SPACE},3070,2,1035,churchill{SPACE},3449,1,0,U,2796,3788
6,1,7,G l a c i e r,glacier{SPACE},3153,C l e m e n s,{SPACE},4903,2,1493,clemens{SPACE},3835,1,0,U,2813,3205
6,1,42,p a r a l l e l ,parallel{SPACE},5175,c o n g r u e n t,{SPACE},6389,2,866,congruent{SPACE},3294,1,0,R,6916,3329
6,1,68,B r o s n a n,brosnan{SPACE},2786,C o n n e r y,{SPACE},5020,4,322,connery{SPACE},1954,1,0,R,6711,5946
6,1,70,p r o t o c o l ,protocal{SPACE},3260,c o v e n a n t ,,5921,4,1557,covenent{SPACE},5978,1,0,R,5240,5272
6,1,40,H o m e r,homer{SPACE},1844,D a n t e,dante{SPACE},3860,1,1329,dante{SPACE},1643,1,1,R,3802,2091
6,1,46,s u r r e n d e r,surrender{SPACE},3709,d e f a u l t,,0,4,2094,default{SPACE},3709,1,0,R,4662,4372
6,1,41,c o n s u m e,consume{SPACE},3591,d e p l e t e,deplete{SPACE},6573,1,1123,deplete{SPACE},2313,1,1,R,5320,3890
6,1,33,s p l i t,split{SPACE},2568,d i v e r g e,{SPACE},9095,4,896,diverge{SPACE},3361,1,0,R,3723,3149
6,1,50,b i z a r r e,bizarre{SPACE},2397,e c c e n t r i c,,0,4,1161,eccentrc{SPACE},3789,1,0,R,4241,4708
6,1,59,p o s s e s s i o n ,possession{SPACE},6042,e x o r c i s m ,excercis,9860,1,2615,exorcism{ENTER}{SPACE},3936,1,0,R,7785,5712
6,1,76,N e w t o n ,newton{SPACE},2000,F a r a d a y,,9774,1,4957,faraday{SPACE},3016,1,0,R,2116,4132
6,1,38,v e g e t a t i o n ,vegetation{SPACE},4270,f o l i a g e,,0,4,1289,foliage{SPACE},3144,1,0,R,5892,4306
6,1,67,H e p b u r n,hepburn{SPACE},3697,G a r l a n d,,0,4,1874,garland{SPACE},3854,1,0,R,3397,3762
6,1,71,p u p p y,puppy{SPACE},2713,g o s l i n g,gossling{SPACE},5718,1,782,gosling{SPACE},2123,1,1,R,3224,3758
6,1,74,J e f f e r s o n,jefferson{SPACE},6113,H a n c o c k,,9866,4,5757,hancock{SPACE},5008,1,0,R,5344,4195
6,1,60,B u d a p e s t ,budapest{SPACE},4941,H e l s i n k i ,helsinki{SPACE},4199,1,865,helsinki{SPACE},3121,1,1,R,4257,4685
6,1,61,d r e d g e ,dredge{SPACE},2553,h o i s t,r,9743,4,3597,hoist{SPACE},2090,1,0,R,4738,3141
6,1,49,S t a l i n ,stalin{SPACE},2934,H u s s e i n,,0,4,1722,hussein{SPACE},2782,1,0,R,4751,5179
6,1,17,u n i q u e n e s s ,uniqueness{SPACE},4065,i d i o s y n c r a s y ,characteristic{SPACE},9665,1,772,idiosycracy{SPACE},9010,1,0,R,5748,7390
6,1,54,i m p l e m e n t,implement{SPACE},3436,i n t e r j e c t,outburst{SPACE},6296,1,1080,interject{SPACE},3715,1,0,P,5823,5283
6,1,73,J a c k m a n,jackman{SPACE},2689,J a g g e r ,,0,4,1070,jagger{SPACE},2152,1,0,P,3680,4224
6,1,12,l a b e l,label{SPACE},2034,l i b e l,libel{SPACE},6590,3,6432,libel{SPACE},2587,1,1,P,3115,3707
6,1,5,l o c k e t ,locket{SPACE},1960,l o q u a c i o u s ,extroert,7219,1,2342,loquacious{SPACE},4756,1,0,P,3362,6342
6,1,66,M a n d a r i n ,mandarin{SPACE},3517,M a n d e l a,mandella{SPACE},6178,1,1529,mandela{SPACE},2363,1,1,P,4476,5413
6,1,37,m e d i u m ,medium{SPACE},1756,m e a g e r ,weak{SPACE},6802,1,2091,meager{SPACE},2329,1,0,P,4392,4652
6,1,4,m u r d e r ,murder{SPACE},3084,M e r c u r y,mercury{SPACE},9738,1,2390,mercury{SPACE},3391,1,1,P,2911,3281
6,1,2,m i l i t a r y ,military{SPACE},4040,M i l l e r ,{SPACE},3914,2,3761,miller{SPACE},2079,1,0,P,3125,3694
6,1,48,m i l k ,milk{SPACE},1720,m i n c e,mince{SPACE},3997,1,565,mince{SPACE},1980,1,1,P,2673,3977
6,1,72,m o n o p o l y ,monopoly{SPACE},2691,m o n o t o n y ,{SPACE},4462,2,640,monotony{SPACE},2729,1,0,P,3850,4288
6,1,47,M o n a r c h,monarch{SPACE},2530,M o n r o e ,monroe{SPACE},6936,1,1242,monroe{SPACE},2262,1,1,P,4468,3733
6,1,53,n a r r a t e,narrate{SPACE},3573,N a i r o b i,,0,2,1326,nairobi{SPACE},2704,1,0,P,5334,4180
6,1,18,n u m b n e s s ,numbness{SPACE},3281,n u l l i f y,,7713,4,1606,nullify{SPACE},3369,1,0,P,5344,5683
6,1,16,n e u r a l ,neural{SPACE},2986,N u r e m b e r g,{SPACE},7141,2,1473,nuremburg{SPACE},5330,1,0,P,5683,6233
6,1,56,o b s t r u c t ,obstruct{SPACE},3055,o b s c u r e,unknown{SPACE},6978,1,1142,obscure{SPACE},2565,1,0,P,4171,3668
6,1,25,o m n i v o r e ,omnivore{SPACE},2762,o m n i p o t e n t ,omnipitent{SPACE},7412,1,1669,omnipotent{SPACE},4452,1,1,P,5804,5417
6,1,14,o s t e o p o r o s i s ,osteoporosis{SPACE},5219,o s t e n t a t i o u s ,{SPACE},4799,2,1551,ostentatious{SPACE},6391,1,0,P,4885,6447
6,1,23,o s m o s i s,osmosis{SPACE},3509,O s w a l d ,booth{SPACE},6716,2,2843,oswald{SPACE},2823,1,0,P,3338,3904
6,1,51,O n t a r i o,ontario{CAPSLOCK}{CAPSLOCK}{SPACE},6008,O t t a w a ,montreal{SPACE},6790,2,4001,ottawa{SPACE},2492,1,0,B,3972,5340
6,1,64,p l a c e b o,placebo{SPACE},4463,p a n a c e a,{SPACE},8265,2,1221,panacea{SPACE},3094,1,0,B,4389,6817
6,1,55,p a r a d i g m ,paradigm{SPACE},5500,p a r a g o n,,0,4,1042,paragon{SPACE},2677,1,0,B,7453,3686
6,1,35,p r o m i s c u o u s,promiscus{SPACE},15137,p o l y g a m y ,polygamy{SPACE},5351,1,705,polygamy{SPACE},5590,1,1,B,5846,3204
6,1,15,p r o d i g y,prodigy{SPACE},2834,p r e c o c i o u s ,gifted{SPACE},9990,4,1945,precocious{SPACE},4480,1,0,B,4336,7447
6,1,19,p r o g n o s i s,prognosis{SPACE},4244,p r o p h e c y ,,0,4,1570,prophecy{SPACE},3492,1,0,B,4819,3932
6,1,44,S a i g o n ,saigon{SPACE},2627,S e o u l,,0,2,489,seoul{SPACE},2660,1,0,B,5712,4667
6,1,22,S h e l l e y,shelley{SPACE},2351,S h a w ,{SPACE},3529,2,781,shaw{SPACE},1082,1,0,B,4442,2653
6,1,3,S w i t z e r l a n d,switzerland{SPACE},5312,S i c i l y ,{SPACE},3948,2,1556,sicily{SPACE},3575,1,0,B,3746,4187
6,1,10,S o l o ,solo{SPACE},2741,S k y w a l k e r,skywalker{SPACE},6770,1,3057,skywalker{SPACE},3483,1,1,B,3207,3723
6,1,52,s u b s t i t u t e ,substitute{SPACE},7429,s u r r o g a t e,surrogate{SPACE},5218,1,1058,surrotgate{SPACE},3695,1,1,B,6827,4896
6,1,34,T o l s t o y,tolstoy{SPACE},2621,T h o r e a u,,0,4,2289,thoreu{SPACE},3986,1,0,B,4792,4763
6,1,45,t w i t c h ,twitch{SPACE},2612,t i c,{SPACE},3954,1,3560,tic{SPACE},1801,1,0,B,4666,1671
6,1,11,t y p h o o n,typhoon{SPACE},2895,t s u n a m i,tsunami{SPACE},8593,1,1151,tsunami{SPACE},3574,1,1,B,3333,4233
6,1,21,T e s l a,tesla{SPACE},2451,T u r i n g ,{SPACE},4023,2,193,turing{SPACE},2574,1,0,B,3686,5209
6,1,8,W e a s l e y,weasley{SPACE},2907,W a t s o n ,watson{SPACE},3625,1,1404,watson{SPACE},2118,1,1,B,3890,2441
6,1,69,W a l k e r ,walker{SPACE},3149,W a y n e,wane{SPACE},3268,1,918,wayne{SPACE},2176,1,0,B,3626,3283
6,1,26,Y o s e m i t e ,yosemite{SPACE},4569,Y e l l o w s t o n e,yosemite{SPACE},7266,3,4043,yellowstone{SPACE},5055,1,0,B,4956,3311
7,1,33,a b a n d o n,abandon{SPACE},1148,a b d i c a t e ,abdicate{SPACE},3719,1,981,abdicate{SPACE},2461,1,1,B,2158,1381
7,1,21,a b r o a d ,abroad{SPACE},1354,a b o r i g i n e,aboriginal{SPACE},6126,1,1237,aborigine{SPACE},2274,1,1,B,1825,2903
7,1,16,a v o i d,avoid{SPACE},945,a b s t a i n,withold{SPACE},9907,3,5530,{SPACE},10256,1,0,B,1781,753
7,1,36,a d v a n c e,advance{SPACE},1403,a d v o c a t e ,advocate{SPACE},7355,1,1133,advocate{SPACE},1277,1,1,B,2260,1780
