"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",9,16,10,7,244,73,29,31,4372,3127
"2",7,16,3,12,325,73,352,164,3421,1384
"3",9,16,5,6,157,73,308,56,4285,2372
"4",9,16,4,12,96,73,377,164,4224,1925
"5",7,5,12,99,336,12,225,NA,2076,5901
"6",4,9,99,99,344,32,NA,NA,1892,NA
"7",99,9,7,15,NA,72,41,141,4200,3137
"8",8,9,5,99,289,32,410,NA,3901,2474
"9",6,16,3,9,386,73,83,81,2966,1115
"10",11,16,5,9,305,73,428,81,5465,2492
"11",6,8,5,8,205,45,131,46,2785,2195
"12",11,16,6,7,255,73,373,31,5415,2953
"13",5,16,10,5,262,73,29,63,2326,2127
"14",8,16,4,2,22,73,70,30,3634,546
"15",9,16,10,15,147,73,112,141,4275,4756
"16",7,16,6,12,386,73,272,164,3482,2852
"17",6,16,5,12,113,73,218,164,2693,2282
"18",7,16,8,9,277,73,260,81,3373,3872
"19",9,16,6,12,114,73,392,164,4242,2972
"20",99,16,99,11,NA,73,NA,17,7813,5177
"21",7,9,6,99,336,32,277,NA,3432,2857
"22",7,16,5,12,324,73,21,164,3420,2085
"23",5,16,8,3,368,73,16,17,2432,1049
"24",8,16,6,12,352,73,46,164,3964,2626
"25",6,9,5,99,270,32,163,NA,2850,2227
"26",5,16,3,6,418,73,317,87,2482,1349
"27",9,16,3,6,316,73,285,56,4444,1317
"28",6,16,5,12,395,73,128,164,2975,2192
"29",5,16,8,12,281,73,134,164,2345,3746
"30",8,16,5,9,302,73,323,81,3914,2387
"31",4,16,6,7,233,73,249,31,1781,2829
"32",99,7,5,99,NA,70,164,NA,3166,2228
"33",6,8,99,8,69,45,NA,46,2649,3658
"34",8,16,4,6,278,73,179,87,3890,1727
"35",8,9,12,10,249,32,225,8,3861,4652
"36",9,16,99,12,216,73,NA,164,4344,5840
"37",7,16,6,12,144,73,39,164,3240,2619
"38",10,16,3,15,294,73,144,141,4938,1176
"39",5,16,3,15,11,73,216,141,2075,1248
"40",7,16,5,9,313,73,31,81,3409,2095
"41",11,9,99,10,255,53,NA,107,4181,4751
"42",7,16,8,11,179,73,377,17,3275,3989
"43",6,16,2,12,339,73,430,164,2919,946
"44",10,16,7,12,101,73,121,164,4745,3217
"45",5,16,2,6,333,73,303,87,2397,819
"46",8,4,4,6,22,43,216,87,1591,1764
"47",6,16,99,3,3,73,NA,47,2583,1079
"48",10,8,7,12,294,45,140,164,3657,3236
"49",99,8,1,15,NA,95,112,141,3707,628
"50",7,16,8,6,198,73,260,56,3294,2636
"51",9,16,4,15,325,73,413,141,4453,1961
"52",10,16,10,12,236,73,29,164,4880,4673
"53",9,99,99,10,294,NA,NA,84,4422,4728
"54",99,9,1,10,NA,126,96,84,4254,612
"55",7,16,9,15,324,73,364,141,3420,4492
"56",7,16,99,15,57,73,NA,141,3153,7365
"57",6,16,99,9,347,73,NA,81,2927,4209
"58",10,16,4,6,320,73,244,56,4964,1792
"59",7,16,99,9,12,73,NA,142,3108,4270
"60",10,6,5,12,294,93,79,164,2673,2143
"61",5,16,3,6,340,73,261,87,2404,1293
"62",10,16,5,6,63,73,37,87,4707,2101
"63",6,8,8,12,273,45,16,164,2853,3628
"64",6,16,1,12,236,73,409,164,2816,925
"65",99,8,3,10,NA,91,420,84,3703,1452
"66",8,16,1,12,356,73,103,164,3968,619
"67",8,5,2,6,22,5,274,87,2069,790
"68",4,16,8,6,312,73,16,87,1860,2667
"69",4,16,10,12,447,73,221,164,1995,4865
"70",9,16,2,12,335,73,398,164,4463,914
"71",6,9,5,10,275,32,90,8,2855,2154
"72",7,8,10,12,370,45,83,164,3466,4727
