Mask1.RESP[Trial],Mask2.RESP[Trial],Mask3.RESP[Trial],Mask4.RESP[Trial],Mask5.RESP[Trial],Mask6.RESP[Trial],Mask7.RESP[Trial],Mask8.RESP[Trial],Mask9.RESP[Trial],Mask10.RESP[Trial],Mask11.RESP[Trial],Mask12.RESP[Trial],Mask13.RESP[Trial],Mask14.RESP[Trial],Mask15.RESP[Trial],Mask16.RESP[Trial],Mask17.RESP[Trial],Mask18.RESP[Trial],Mask1.RT[Trial],Mask2.RT[Trial],Mask3.RT[Trial],Mask4.RT[Trial],Mask5.RT[Trial],Mask6.RT[Trial],Mask7.RT[Trial],Mask8.RT[Trial],Mask9.RT[Trial],Mask10.RT[Trial],Mask11.RT[Trial],Mask12.RT[Trial],Mask13.RT[Trial],Mask14.RT[Trial],Mask15.RT[Trial],Mask16.RT[Trial],Mask17.RT[Trial],Mask18.RT[Trial]
0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,161,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,18,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,337,0,161,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,373,0,0,18,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,97,18,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,167,0,18,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,160,161,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,46,0,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,281,409,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,338,409,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,218,409,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,248,84,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,128,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,396,18,341,0,0,0,84,0,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,149,0,18,341,0,0,0,84,0,0,0,0,0,0
