"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,10,13,15,227,94,15,102,3839,6207
"2",11,7,11,13,71,66,81,150,3162,5241
"3",99,8,11,13,NA,74,31,150,3686,5191
"4",7,12,9,12,230,72,168,7,3326,4296
"5",6,99,11,15,379,NA,30,102,2959,5190
"6",12,8,99,15,170,71,NA,102,3683,7326
"7",11,99,6,11,128,NA,367,6,5288,2947
"8",6,99,15,11,144,NA,166,6,2724,5166
"9",9,10,12,15,158,94,26,102,4286,5702
"10",16,99,5,11,38,NA,330,6,7778,2394
"11",8,99,6,11,371,NA,237,6,3983,2817
"12",11,99,8,13,71,NA,198,150,5231,3810
"13",7,14,8,9,14,3,272,67,3110,3884
"14",15,9,11,15,229,64,59,102,4192,5219
"15",9,10,9,15,109,94,333,102,4237,4461
"16",7,99,10,11,122,NA,134,6,3218,4778
"17",6,99,8,11,216,NA,176,6,2796,3788
"18",6,8,7,13,233,74,109,150,2813,3205
"19",14,99,7,15,208,NA,233,102,6916,3329
"20",16,14,12,15,45,3,270,102,6711,5946
"21",11,14,11,15,80,3,112,102,5240,5272
"22",8,99,5,15,190,NA,27,102,3802,2091
"23",10,99,9,15,18,NA,244,102,4662,4372
"24",11,99,8,15,160,NA,278,102,5320,3890
"25",8,99,7,11,111,NA,53,6,3723,3149
"26",9,99,10,15,113,NA,64,102,4241,4708
"27",16,99,99,12,45,NA,NA,36,7785,5712
"28",7,5,9,15,14,52,4,102,2116,4132
"29",12,99,9,15,216,NA,178,102,5892,4306
"30",7,10,8,15,301,94,150,102,3397,3762
"31",7,14,8,15,128,3,146,102,3224,3758
"32",11,14,11,9,184,3,112,67,5344,4195
"33",9,99,10,12,129,NA,41,36,4257,4685
"34",16,10,7,12,45,94,45,36,4738,3141
"35",10,99,11,15,107,NA,19,102,4751,5179
"36",99,12,15,99,NA,72,166,NA,5748,7390
"37",12,99,11,15,147,NA,123,102,5823,5283
"38",8,14,9,15,68,3,96,102,3680,4224
"39",7,99,8,9,19,NA,95,105,3115,3707
"40",7,99,99,13,266,NA,NA,150,3362,6342
"41",9,10,11,15,348,94,253,102,4476,5413
"42",9,99,10,15,264,NA,8,102,4392,4652
"43",6,99,7,99,331,NA,185,NA,2911,3281
"44",7,99,8,99,29,NA,82,NA,3125,3694
"45",9,6,8,15,340,93,365,102,2673,3977
"46",8,14,9,15,238,3,160,102,3850,4288
"47",9,99,8,15,340,NA,121,102,4468,3733
"48",11,99,11,9,174,NA,180,52,5334,4180
"49",11,12,15,12,184,72,166,7,5344,5683
"50",12,99,15,13,7,NA,223,41,5683,6233
"51",9,99,8,15,43,NA,56,102,4171,3668
"52",12,99,11,12,128,NA,257,7,5804,5417
"53",10,99,13,99,241,NA,255,NA,4885,6447
"54",7,12,8,12,242,72,292,7,3338,3904
"55",8,99,11,15,360,NA,180,102,3972,5340
"56",9,10,14,15,261,94,109,102,4389,6817
"57",15,99,8,15,229,NA,74,102,7453,3686
"58",12,99,10,7,170,NA,119,108,5846,3204
"59",9,99,15,99,208,NA,223,NA,4336,7447
"60",10,12,8,12,175,72,320,7,4819,3932
"61",12,99,10,15,36,NA,23,102,5712,4667
"62",9,12,11,6,314,72,49,73,4442,2653
"63",8,99,9,99,134,NA,59,NA,3746,4187
"64",7,99,8,13,111,NA,111,150,3207,3723
"65",14,99,10,15,119,NA,252,102,6827,4896
"66",16,10,10,11,38,148,119,6,4792,4763
"67",10,99,4,15,22,NA,123,102,4666,1671
"68",7,99,11,9,237,NA,31,105,3333,4233
"69",8,12,11,12,74,72,49,7,3686,5209
"70",8,99,5,13,278,NA,377,150,3890,2441
"71",16,8,7,15,45,14,187,102,3626,3283
"72",10,99,7,12,312,NA,215,7,4956,3311
