Mask1.RESP[Trial],Mask2.RESP[Trial],Mask3.RESP[Trial],Mask4.RESP[Trial],Mask5.RESP[Trial],Mask6.RESP[Trial],Mask7.RESP[Trial],Mask8.RESP[Trial],Mask9.RESP[Trial],Mask10.RESP[Trial],Mask11.RESP[Trial],Mask12.RESP[Trial],Mask13.RESP[Trial],Mask14.RESP[Trial],Mask15.RESP[Trial],Mask16.RESP[Trial],Mask17.RESP[Trial],Mask18.RESP[Trial],Mask1.RT[Trial],Mask2.RT[Trial],Mask3.RT[Trial],Mask4.RT[Trial],Mask5.RT[Trial],Mask6.RT[Trial],Mask7.RT[Trial],Mask8.RT[Trial],Mask9.RT[Trial],Mask10.RT[Trial],Mask11.RT[Trial],Mask12.RT[Trial],Mask13.RT[Trial],Mask14.RT[Trial],Mask15.RT[Trial],Mask16.RT[Trial],Mask17.RT[Trial],Mask18.RT[Trial]
0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,232,162,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,277,0,228,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,130,0,103,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,105,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,55,324,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,103,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,273,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,252,305,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,195,305,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,146,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,364,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,146,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,172,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,130,232,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,54,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,80,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,286,305,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,157,364,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,130,0,103,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,327,0,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,232,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,274,323,0,0,105,0,0,0,0,0,0,0,0,0,0
