TMask1.RESP[Trial],TMask2.RESP[Trial],TMask3.RESP[Trial],TMask4.RESP[Trial],TMask5.RESP[Trial],TMask6.RESP[Trial],TMask7.RESP[Trial],TMask8.RESP[Trial],TMask9.RESP[Trial],TMask10.RESP[Trial],TMask11.RESP[Trial],TMask12.RESP[Trial],TMask13.RESP[Trial],TMask14.RESP[Trial],TMask15.RESP[Trial],TMask16.RESP[Trial],TMask17.RESP[Trial],TMask18.RESP[Trial],TMask1.RT[Trial],TMask2.RT[Trial],TMask3.RT[Trial],TMask4.RT[Trial],TMask5.RT[Trial],TMask6.RT[Trial],TMask7.RT[Trial],TMask8.RT[Trial],TMask9.RT[Trial],TMask10.RT[Trial],TMask11.RT[Trial],TMask12.RT[Trial],TMask13.RT[Trial],TMask14.RT[Trial],TMask15.RT[Trial],TMask16.RT[Trial],TMask17.RT[Trial],TMask18.RT[Trial]
{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,199,0,0,0,193,0,74,0,0,282,0,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,296,0,0,352,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,379,0,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,348,0,201,0,0,0,0,76,282,0,0,0,0,0
0,0,{SPACE},0,{SPACE},{SPACE},{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,99,0,232,22,369,0,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,296,0,193,0,74,0,0,282,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,202,0,0,316,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,300,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,219,0,0,245,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,318,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,268,0,0,275,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,253,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,292,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,232,22,369,0,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,323,0,193,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,239,0,22,369,0,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,218,292,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,304,0,0,201,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,22,369,0,0,74,0,0,282,0,0,0,0,0
0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,315,205,181,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,103,275,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,391,201,0,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,179,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,193,0,74,0,0,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,328,0,374,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,205,0,0,280,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,217,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,253,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,374,294,0,0,0,76,282,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0
