"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",9,99,1,10,237,NA,451,0,4365,967
"2",7,12,12,99,186,14,76,NA,3282,5752
"3",9,6,4,99,249,64,199,NA,2644,1747
"4",7,8,5,99,245,123,296,NA,3341,2360
"5",6,12,7,99,252,14,379,NA,2832,3475
"6",99,8,8,99,NA,123,352,NA,3735,3964
"7",10,12,13,9,191,14,282,0,4835,4128
"8",6,11,5,99,415,24,348,NA,2995,2412
"9",6,12,3,99,95,14,99,NA,2675,1131
"10",6,12,6,99,203,14,296,NA,2783,2876
"11",7,12,4,99,114,14,202,NA,3210,1750
"12",8,11,6,7,355,24,183,0,3967,2763
"13",99,11,4,99,NA,24,300,NA,5184,1848
"14",5,12,3,99,130,14,219,NA,2194,1251
"15",10,99,7,99,195,NA,259,NA,4839,3355
"16",7,12,4,99,300,14,268,NA,3396,1816
"17",9,99,8,99,249,NA,199,NA,4377,3811
"18",7,12,7,99,130,29,292,NA,3226,3388
"19",6,12,5,99,78,14,232,NA,2658,2296
"20",10,12,6,99,112,14,323,NA,4756,2903
"21",6,12,7,3,45,14,280,0,2625,1032
"22",6,12,4,99,162,14,239,NA,2742,1787
"23",5,12,7,3,276,14,280,0,2340,1032
"24",11,12,7,99,26,14,335,NA,5186,3431
"25",9,12,13,6,222,14,282,0,4350,2580
"26",7,12,6,99,196,29,218,NA,3292,2798
"27",4,12,6,99,288,14,28,NA,1836,2608
"28",5,12,6,99,191,14,130,NA,2255,2710
"29",99,8,11,99,NA,38,318,NA,3650,5478
"30",12,8,5,99,101,120,137,NA,3732,2201
"31",4,7,8,99,350,53,275,NA,1898,3887
"32",9,11,4,99,127,24,304,NA,4255,1852
"33",6,12,6,99,350,14,22,NA,2930,2602
"34",9,12,4,99,123,14,315,NA,4251,1863
"35",8,11,7,99,23,24,201,NA,3635,3297
"36",99,12,8,99,NA,29,294,NA,5705,3906
"37",5,7,7,99,299,53,103,NA,2363,3199
"38",8,11,6,99,258,24,391,NA,3870,2971
"39",7,11,4,99,39,24,179,NA,3135,1727
"40",9,12,10,99,86,14,74,NA,4214,4718
"41",9,12,8,99,249,14,193,NA,4377,3805
"42",6,12,7,99,68,14,275,NA,2648,3371
"43",10,7,5,99,135,53,328,NA,3149,2392
"44",8,6,7,99,371,69,280,NA,2649,3376
"45",8,12,6,99,371,14,245,NA,3983,2825
"46",9,12,4,99,271,14,205,NA,4399,1753
"47",9,99,6,99,356,NA,320,NA,4484,2900
"48",8,99,8,99,346,NA,170,NA,3958,3782
"49",99,12,6,99,NA,14,173,NA,5690,2753
"50",7,99,10,7,293,NA,253,0,3389,3096
"51",10,12,8,5,135,29,294,0,4779,2064
"52",9,12,5,99,53,14,158,NA,4181,2222
"53",6,12,6,99,168,14,252,NA,2748,2832
"54",8,11,12,7,255,24,76,0,3867,3096
"55",8,12,7,99,318,29,374,NA,3930,3470
"56",8,99,13,99,246,NA,282,NA,3858,6474
"57",9,6,10,99,237,42,253,NA,2622,4897
"58",5,12,5,99,230,14,96,NA,2294,2160
"59",12,99,99,10,101,NA,NA,0,5777,4644
"60",99,6,5,99,NA,70,269,NA,2650,2333
"61",5,7,5,99,314,53,89,NA,2378,2153
"62",6,12,7,99,27,14,316,NA,2607,3412
"63",9,99,6,99,118,NA,160,NA,4246,2740
"64",5,12,7,99,411,14,369,NA,2475,3465
"65",7,8,3,99,175,123,251,NA,3271,1283
"66",7,12,1,99,264,14,281,NA,3360,797
"67",10,5,6,99,195,69,344,NA,2133,2924
"68",8,11,12,7,256,24,76,0,3868,3096
"69",10,6,8,3,135,23,294,0,2603,1032
"70",6,12,5,99,96,14,205,NA,2676,2269
"71",7,12,4,99,253,29,363,NA,3349,1911
"72",8,12,6,99,241,14,181,NA,3853,2761
