"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",5,7,6,99,158,67,221,NA,2222,2801
"2",6,99,5,10,203,NA,124,73,2783,2188
"3",5,99,4,10,324,NA,88,73,2388,1636
"4",3,99,3,7,308,NA,421,18,1340,1453
"5",3,99,8,99,153,NA,100,NA,1185,3712
"6",3,5,99,10,40,28,NA,73,1072,4717
"7",4,7,5,99,327,67,82,NA,1875,2146
"8",3,99,3,99,278,NA,277,NA,1310,1309
"9",6,99,2,10,60,NA,456,73,2640,972
"10",5,99,5,2,115,NA,162,26,2179,542
"11",9,99,5,99,229,NA,202,NA,4357,2266
"12",6,99,3,10,256,NA,225,73,2836,1257
"13",4,99,5,99,432,NA,392,NA,1980,2456
"14",4,99,3,99,362,NA,104,NA,1910,1136
"15",3,99,3,10,42,NA,127,73,1074,1159
"16",4,99,3,10,183,NA,374,73,1731,1406
"17",4,99,3,7,212,NA,435,18,1760,1467
"18",4,99,5,99,6,NA,296,NA,1554,2360
"19",4,99,3,10,422,NA,316,73,1970,1348
"20",9,99,7,99,69,NA,12,NA,4197,3108
"21",4,99,3,10,17,NA,117,73,1565,1149
"22",4,99,2,10,41,NA,257,73,1589,773
"23",6,3,3,10,356,13,12,73,1045,1044
"24",5,99,4,99,140,NA,20,NA,2204,1568
"25",3,99,3,10,42,NA,324,73,1074,1356
"26",4,99,4,10,194,NA,423,73,1742,1971
"27",6,99,4,10,356,NA,6,73,2936,1554
"28",4,99,7,10,213,NA,227,73,1761,3323
"29",7,99,3,10,213,NA,324,73,3309,1356
"30",3,99,3,99,342,NA,110,NA,1374,1142
"31",3,99,2,99,41,NA,306,NA,1073,822
"32",3,99,2,10,212,NA,390,73,1244,906
"33",4,99,2,99,131,NA,341,NA,1679,857
"34",9,3,3,10,22,27,57,73,1059,1089
"35",4,99,4,10,250,NA,60,73,1798,1608
"36",4,99,6,99,145,NA,206,NA,1693,2786
"37",6,99,5,99,67,NA,188,NA,2647,2252
"38",9,5,3,99,22,28,106,NA,2092,1138
"39",3,99,2,99,282,NA,442,NA,1314,958
"40",3,99,4,10,353,NA,232,73,1385,1780
"41",4,99,5,3,111,NA,296,40,1659,1072
"42",5,3,3,99,140,21,203,NA,1053,1235
"43",3,99,2,10,111,NA,402,73,1143,918
"44",5,99,9,7,329,NA,18,18,2393,3114
"45",4,99,2,99,364,NA,392,NA,1912,908
"46",5,3,5,99,158,38,224,NA,1070,2288
"47",3,99,2,10,247,NA,461,73,1279,977
"48",3,99,5,99,86,NA,75,NA,1118,2139
"49",9,7,3,7,229,67,201,18,3163,1233
"50",7,99,4,10,45,NA,234,73,3141,1782
"51",3,99,2,10,348,NA,412,73,1380,928
"52",4,99,4,99,264,NA,437,NA,1812,1985
"53",9,99,7,99,22,NA,272,NA,4150,3368
"54",6,99,6,99,144,NA,79,NA,2724,2659
"55",7,99,9,99,219,NA,18,NA,3315,4146
"56",3,99,11,99,248,NA,219,NA,1280,5379
"57",5,99,7,99,262,NA,76,NA,2326,3172
"58",6,99,3,10,112,NA,127,73,2692,1159
"59",5,3,9,99,326,27,122,NA,1059,4250
"60",5,99,3,99,326,NA,45,NA,2390,1077
"61",3,99,3,99,416,NA,99,NA,1448,1131
"62",5,99,3,10,132,NA,131,73,2196,1163
"63",3,7,3,99,153,67,149,NA,1185,1181
"64",3,99,3,10,158,NA,57,73,1190,1089
"65",5,99,4,10,263,NA,49,73,2327,1597
"66",3,99,3,99,293,NA,447,NA,1325,1479
"67",3,99,4,10,171,NA,293,73,1203,1841
"68",3,99,3,10,85,NA,205,73,1117,1237
"69",3,99,3,10,73,NA,104,73,1105,1136
"70",4,99,2,99,65,NA,292,NA,1613,808
"71",5,99,3,99,185,NA,59,NA,2249,1091
"72",6,7,7,99,85,67,232,NA,2665,3328
