"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,5,7,99,122,70,368,NA,2134,3464
"2",6,10,9,99,217,99,360,NA,2797,4488
"3",5,9,9,7,34,31,119,7,2098,3103
"4",6,9,10,99,28,31,275,NA,2608,4919
"5",7,99,14,5,328,NA,63,76,3424,2140
"6",7,99,99,10,181,NA,NA,61,3277,4705
"7",3,99,4,9,340,NA,419,55,1372,1967
"8",6,99,5,99,248,NA,390,NA,2828,2454
"9",6,10,6,8,252,55,316,21,2832,2896
"10",8,5,9,99,17,71,21,NA,2135,4149
"11",5,9,4,12,355,33,353,32,2419,1901
"12",8,10,8,99,145,99,128,NA,3757,3740
"13",6,99,5,9,130,NA,291,55,2710,2355
"14",5,99,3,9,311,NA,374,55,2375,1406
"15",11,8,8,99,142,105,141,NA,3717,3753
"16",5,9,3,12,126,33,394,32,2190,1426
"17",5,99,14,9,55,NA,63,55,2119,4183
"18",14,6,11,8,224,26,92,21,2606,3633
"19",11,6,6,4,142,35,43,33,2615,1581
"20",8,99,7,99,122,NA,89,NA,3734,3185
"21",14,9,99,10,224,31,NA,28,4159,4672
"22",4,6,4,7,257,73,388,19,1805,1936
"23",7,99,14,10,181,NA,63,141,3277,4785
"24",5,9,9,6,293,31,119,60,2357,2640
"25",5,10,99,7,170,99,NA,92,2234,3188
"26",8,99,6,7,233,NA,325,14,3845,2905
"27",4,99,5,7,370,NA,73,14,1918,2137
"28",8,5,5,9,17,7,333,55,2071,2397
"29",11,6,5,99,142,51,317,NA,2631,2381
"30",6,9,5,99,13,31,51,NA,2593,2115
"31",14,99,5,99,224,NA,160,NA,6932,2224
"32",3,9,12,4,464,31,24,32,1496,1580
"33",7,99,14,11,276,NA,63,106,3372,5266
"34",5,99,3,9,120,NA,431,55,2184,1463
"35",5,10,6,99,362,99,117,NA,2426,2697
"36",4,9,12,99,237,31,24,NA,1785,5700
"37",14,7,7,8,224,104,215,21,3200,3311
"38",4,99,4,7,137,NA,355,14,1685,1903
"39",8,6,3,10,233,43,315,141,2623,1347
"40",8,99,8,99,49,NA,49,NA,3661,3661
"41",6,9,5,12,105,33,389,32,2685,2453
"42",9,10,6,99,233,55,291,NA,4361,2871
"43",7,99,8,99,79,NA,354,NA,3175,3966
"44",11,9,8,12,142,33,76,32,4161,3688
"45",6,10,4,7,107,99,261,45,2687,1809
"46",11,99,14,99,142,NA,63,NA,5302,6771
"47",4,5,6,12,299,56,43,32,1847,2623
"48",3,5,4,12,248,56,444,32,1280,1992
"49",10,6,11,7,340,73,92,19,2653,3115
"50",6,9,9,10,96,31,119,28,2676,4247
"51",3,9,5,10,344,31,153,28,1376,2217
"52",10,99,6,99,340,NA,36,NA,4984,2616
"53",4,99,9,99,375,NA,52,NA,1923,4180
"54",6,99,9,7,389,NA,360,37,2969,3133
"55",4,10,7,99,377,99,231,NA,1925,3327
"56",4,99,11,99,199,NA,92,NA,1747,5252
"57",8,3,6,99,122,29,80,NA,1061,2660
"58",7,99,5,7,48,NA,82,14,3144,2146
"59",11,5,10,12,142,56,288,32,2120,4932
"60",9,10,5,99,104,99,219,NA,4232,2283
"61",7,99,8,99,245,NA,296,NA,3341,3908
"62",6,9,6,10,397,31,61,28,2977,2641
"63",3,99,6,99,404,NA,34,NA,1436,2614
"64",9,99,14,12,34,NA,63,32,4162,5708
"65",14,10,4,8,224,55,220,21,4699,1768
"66",7,99,6,99,375,NA,318,NA,3471,2898
"67",8,99,14,2,17,NA,63,26,3629,542
"68",4,9,4,99,294,31,330,NA,1842,1878
"69",9,99,9,7,207,NA,21,14,4335,3110
"70",9,10,3,99,86,55,332,NA,4214,1364
"71",5,9,9,4,299,31,119,10,2363,1558
"72",8,99,7,99,249,NA,160,NA,3861,3256
