TMask1.RESP[Trial],TMask10.RESP[Trial],TMask11.RESP[Trial],TMask12.RESP[Trial],TMask13.RESP[Trial],TMask14.RESP[Trial],TMask15.RESP[Trial],TMask16.RESP[Trial],TMask17.RESP[Trial],TMask18.RESP[Trial],TMask2.RESP[Trial],TMask3.RESP[Trial],TMask4.RESP[Trial],TMask5.RESP[Trial],TMask6.RESP[Trial],TMask7.RESP[Trial],TMask8.RESP[Trial],TMask9.RESP[Trial],TMask1.RT[Trial],TMask2.RT[Trial],TMask3.RT[Trial],TMask4.RT[Trial],TMask5.RT[Trial],TMask6.RT[Trial],TMask7.RT[Trial],TMask8.RT[Trial],TMask9.RT[Trial],TMask10.RT[Trial],TMask11.RT[Trial],TMask12.RT[Trial],TMask13.RT[Trial],TMask14.RT[Trial],TMask15.RT[Trial],TMask16.RT[Trial],TMask17.RT[Trial],TMask18.RT[Trial]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0
0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,253,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,0,0,184,0,400,68,0,0,158,0,127,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,{SPACE},0,{SPACE},{SPACE},{SPACE},0,0,0,0,323,0,236,400,68,0,0,158,0,127,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,400,68,0,0,158,0,127,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,292,0,0,238,0,0,0,0,0,0,0,0,0,0,0
0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,281,0,326,0,0,0,0,0,286,253,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,415,0,0,0,0,0,158,0,127,0,0,0,0,0,0
0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,326,0,0,0,0,0,286,253,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,87,142,0,0,0,0,0,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,306,0,0,158,0,127,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
0,{SPACE},0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,217,237,0,0,0,0,0,0,0,0,0,0,0,0,0
0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,154,400,68,0,0,158,0,127,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,142,0,0,0,127,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,335,0,296,0,0,0,0,0,167,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,96,400,68,0,0,158,0,127,0,0,0,0,0,0
0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,314,329,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,18,0,0,252,0,0,0,0,0,0,81,0,0
0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,327,0,0,329,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,{SPACE},0,0,0,0,0,0,0,{SPACE},0,{SPACE},0,0,0,0,0,0,206,0,197,0,0,0,0,0,0,16,0,0,0,0,0,0
0,{SPACE},0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,156,154,400,68,0,0,158,0,127,0,0,0,0,0,0
