"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,99,16,9,198,NA,0,99,3810,4227
"2",6,7,3,17,217,42,0,0,2797,1032
"3",7,8,16,9,15,40,0,99,3111,4227
"4",5,99,2,17,224,NA,0,0,2288,516
"5",5,99,2,17,398,NA,0,0,2462,516
"6",14,9,4,17,182,121,0,0,4249,1548
"7",8,99,2,17,260,NA,0,0,3872,516
"8",8,99,13,9,111,NA,0,99,3723,4227
"9",5,7,3,17,258,42,281,0,2322,1313
"10",8,99,2,17,374,NA,0,0,3986,516
"11",6,7,3,17,218,42,0,0,2798,1032
"12",9,99,15,17,122,NA,0,0,4250,7224
"13",8,99,2,17,282,NA,0,0,3894,516
"14",7,99,18,12,173,NA,0,9,3269,5685
"15",9,7,4,17,90,42,0,0,3138,1548
"16",6,99,2,17,140,NA,0,0,2720,516
"17",8,99,13,12,204,NA,0,9,3816,5685
"18",6,99,2,17,376,NA,0,0,2956,516
"19",5,99,2,17,378,NA,0,0,2442,516
"20",5,9,4,17,300,121,0,0,2364,1548
"21",5,6,4,17,214,32,335,0,2278,1883
"22",4,99,2,17,379,NA,0,0,1927,516
"23",7,99,2,17,240,NA,0,0,3336,516
"24",6,99,16,17,380,NA,0,0,2960,7740
"25",7,99,13,17,189,NA,0,0,3285,6192
"26",7,99,8,17,61,NA,0,0,3157,3612
"27",7,99,2,17,240,NA,0,0,3336,516
"28",14,99,99,9,182,NA,NA,99,6890,4227
"29",6,99,14,12,288,NA,0,9,2868,5685
"30",8,99,4,17,250,NA,0,0,3862,1548
"31",6,99,2,17,186,NA,0,0,2766,516
"32",6,99,4,17,215,NA,0,0,2795,1548
"33",6,99,99,13,243,NA,NA,27,2823,6219
"34",9,99,2,17,90,NA,0,0,4218,516
"35",11,99,2,17,136,NA,0,0,5296,516
"36",7,99,99,17,220,NA,NA,0,3316,8256
"37",5,99,16,12,224,NA,0,9,2288,5685
"38",14,8,16,9,182,40,0,99,3652,4227
"39",8,99,2,17,167,NA,0,0,3779,516
"40",7,99,8,17,56,NA,0,0,3152,3612
"41",6,99,4,17,342,NA,0,0,2922,1548
"42",7,99,2,17,26,NA,0,0,3122,516
"43",9,99,2,3,334,NA,0,19,4462,516
"44",9,6,4,17,90,32,0,0,2612,1548
"45",9,99,2,17,179,NA,0,0,4307,516
"46",8,99,16,9,208,NA,0,99,3820,4227
"47",8,99,17,99,338,NA,0,NA,3950,8256
"48",6,7,4,17,278,42,0,0,2858,1548
"49",4,99,16,17,314,NA,0,0,1862,7740
"50",9,99,4,5,89,NA,0,25,4217,1548
"51",6,99,2,17,107,NA,0,0,2687,516
"52",11,99,17,99,306,NA,0,NA,5466,8256
"53",6,99,4,17,375,NA,0,0,2955,1548
"54",8,99,8,17,304,NA,0,0,3916,3612
"55",5,99,8,17,291,NA,0,0,2355,3612
"56",5,6,4,17,307,32,0,0,2371,1548
"57",6,99,17,12,252,NA,0,9,2832,5685
"58",6,99,2,17,135,NA,0,0,2715,516
"59",7,99,99,12,322,NA,NA,9,3418,5685
"60",8,99,2,17,315,NA,0,0,3927,516
"61",7,99,3,17,351,NA,295,0,3447,1327
"62",7,99,2,17,153,NA,0,0,3249,516
"63",12,99,4,17,34,NA,0,0,5710,1548
"64",7,99,12,12,231,NA,0,9,3327,5685
"65",8,99,12,17,131,NA,0,0,3743,5676
"66",6,99,2,17,73,NA,0,0,2653,516
"67",8,99,4,17,355,NA,0,0,3967,1548
"68",5,99,8,2,100,NA,0,18,2164,534
"69",7,99,3,17,398,NA,0,0,3494,1032
"70",6,99,8,17,164,NA,0,0,2744,3612
"71",8,99,2,17,179,NA,216,0,3791,732
"72",9,6,4,17,90,15,0,0,2595,1548
