"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,11,8,99,325,58,158,NA,3937,3770
"2",6,99,3,99,406,NA,205,NA,2986,1237
"3",9,6,8,11,289,86,331,172,2666,3943
"4",8,11,5,99,109,58,169,NA,3721,2233
"5",11,99,8,99,20,NA,311,NA,5180,3923
"6",7,11,14,99,310,115,61,NA,3406,6769
"7",7,10,13,3,50,78,29,3,3146,1035
"8",8,99,3,6,53,NA,65,5,3665,1097
"9",6,10,9,13,206,78,236,83,2786,4364
"10",7,8,3,13,349,34,85,83,3445,1117
"11",8,11,3,99,95,58,65,NA,3707,1097
"12",8,11,6,99,383,58,19,NA,3995,2599
"13",6,99,6,99,271,NA,17,NA,2851,2597
"14",6,99,6,99,235,NA,247,NA,2815,2827
"15",10,99,10,13,267,NA,267,83,4911,4911
"16",5,99,7,5,166,NA,331,49,2230,2113
"17",8,99,3,13,65,NA,391,83,3677,1423
"18",9,11,8,6,8,115,311,30,4136,2610
"19",6,10,5,13,289,78,391,83,2869,2455
"20",11,99,3,99,197,NA,434,NA,5357,1466
"21",14,10,7,99,227,127,270,NA,4771,3366
"22",7,99,2,99,136,NA,452,NA,3232,968
"23",8,99,5,6,370,NA,38,5,3982,2102
"24",6,99,8,3,409,NA,331,46,2989,1078
"25",5,11,9,4,281,58,287,50,2345,1598
"26",14,11,5,99,227,115,318,NA,5275,2382
"27",6,11,3,99,376,58,317,NA,2956,1349
"28",9,10,13,3,83,78,29,44,4211,1076
"29",8,11,3,4,67,58,182,50,3679,1214
"30",7,99,6,99,368,NA,24,NA,3464,2604
"31",6,11,2,9,195,115,271,50,2775,787
"32",7,99,5,99,370,NA,172,NA,3466,2236
"33",8,11,6,99,45,115,141,NA,3657,2721
"34",8,11,3,99,39,58,112,NA,3651,1144
"35",7,99,99,11,68,NA,NA,172,3164,5332
"36",7,11,13,7,159,58,29,22,3255,3118
"37",10,11,4,99,147,58,228,NA,4791,1776
"38",14,6,4,13,227,37,93,83,2617,1641
"39",10,99,4,6,122,NA,102,5,4766,1650
"40",11,99,6,99,316,NA,331,NA,5476,2911
"41",7,99,13,6,157,NA,29,5,3253,2585
"42",9,11,8,99,84,58,328,NA,4212,3940
"43",14,10,3,13,227,78,198,83,4722,1230
"44",14,99,7,99,227,NA,331,NA,6935,3427
"45",7,10,2,99,81,78,387,NA,3177,903
"46",14,6,7,99,227,13,398,NA,2593,3494
"47",10,7,2,6,122,42,299,5,3138,815
"48",6,11,10,99,224,58,42,NA,2804,4686
"49",7,11,6,9,325,115,355,50,3421,2935
"50",8,6,5,99,109,44,326,NA,2624,2390
"51",7,10,4,99,214,78,269,NA,3310,1817
"52",14,11,6,99,227,58,112,NA,5218,2692
"53",14,7,13,99,227,50,29,NA,3146,6221
"54",9,11,3,9,340,115,242,50,4468,1274
"55",7,11,14,9,81,115,61,50,3177,4178
"56",11,8,99,13,197,34,NA,83,3646,6275
"57",6,11,6,99,101,58,175,NA,2681,2755
"58",9,10,2,99,157,78,233,NA,4285,749
"59",6,11,9,99,74,58,287,NA,2654,4415
"60",9,99,6,4,289,NA,24,19,4417,1567
"61",10,99,3,99,144,NA,54,NA,4788,1086
"62",7,8,5,13,196,34,409,83,3292,2473
"63",10,11,5,99,21,58,264,NA,4665,2328
"64",4,10,2,99,418,127,368,NA,1966,884
"65",10,99,4,99,59,NA,33,NA,4703,1581
"66",6,99,7,99,332,NA,135,NA,2912,3231
"67",7,11,4,6,329,115,157,30,3425,1705
"68",7,99,5,6,197,NA,53,5,3293,2117
"69",7,11,4,99,118,58,147,NA,3214,1695
"70",7,11,4,99,330,58,134,NA,3426,1682
"71",14,8,3,99,227,27,191,NA,3639,1223
"72",7,99,5,99,179,NA,221,NA,3275,2285
