"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",9,99,18,14,1,NA,195,87,4129,6795
"2",14,9,99,17,129,81,NA,130,4209,8386
"3",8,15,8,99,187,227,58,NA,3799,3670
"4",99,11,11,99,NA,62,164,NA,5222,5324
"5",17,99,11,99,70,NA,119,NA,8326,5279
"6",99,14,99,99,NA,45,NA,NA,6753,NA
"7",8,15,13,99,201,227,104,NA,3813,6296
"8",8,15,13,8,119,9,12,72,3731,3684
"9",9,12,99,11,1,153,NA,40,4129,5200
"10",9,12,11,8,1,153,12,94,4129,3706
"11",9,15,8,11,1,9,65,175,4129,3677
"12",11,15,18,14,271,227,195,180,5431,6888
"13",9,15,13,8,1,9,12,48,4129,3660
"14",99,9,13,99,NA,142,12,NA,4270,6204
"15",15,99,11,15,26,NA,74,232,7250,5234
"16",10,99,7,17,249,NA,286,130,4893,3382
"17",12,9,18,14,191,29,195,5,4157,6713
"18",10,15,9,99,17,9,271,NA,4661,4399
"19",11,99,10,17,24,NA,68,130,5184,4712
"20",16,99,99,17,25,NA,NA,59,7765,8315
"21",10,15,9,16,172,227,255,24,4816,4383
"22",11,15,7,11,126,9,216,175,5286,3312
"23",99,15,12,7,NA,227,39,9,7451,3105
"24",9,13,12,99,1,86,25,NA,4129,5701
"25",8,15,9,11,210,9,311,175,3822,4439
"26",6,13,99,13,318,86,NA,72,2898,6264
"27",12,10,10,14,191,18,51,180,4662,4695
"28",13,99,13,99,4,NA,138,NA,6196,6330
"29",10,99,99,10,121,NA,NA,131,4765,4775
"30",99,15,13,10,NA,9,138,78,7233,4722
"31",8,10,18,16,301,18,195,24,3913,7764
"32",10,15,8,11,25,9,237,175,4669,3849
"33",10,15,15,16,196,227,164,24,4840,7388
"34",10,99,8,15,301,NA,302,232,4945,3914
"35",11,99,12,10,282,NA,39,95,5442,4739
"36",99,15,99,99,NA,54,NA,NA,7278,NA
"37",10,10,9,99,354,2,185,NA,4646,4313
"38",9,99,11,99,1,NA,226,NA,4129,5386
"39",8,99,9,11,55,NA,231,108,3667,4359
"40",12,99,18,99,248,NA,195,NA,5924,8967
"41",12,9,12,14,248,61,39,87,4189,5715
"42",14,99,18,99,50,NA,32,NA,6758,8804
"43",12,15,9,99,191,227,107,NA,5867,4235
"44",12,13,9,99,3,86,73,NA,5679,4201
"45",8,10,11,99,373,24,12,NA,3985,5172
"46",15,10,99,13,72,60,NA,86,4704,6278
"47",8,15,13,11,3,9,12,175,3615,5335
"48",15,12,99,99,26,153,NA,NA,5829,NA
"49",11,12,7,8,251,153,235,125,5411,3331
"50",14,99,99,15,129,NA,NA,111,6837,7335
"51",10,12,11,8,260,153,12,125,4904,3737
"52",99,13,11,99,NA,86,199,NA,6278,5359
"53",8,15,99,99,208,227,NA,NA,3820,NA
"54",8,15,8,11,145,9,18,175,3757,3630
"55",8,15,14,99,216,227,85,NA,3828,6793
"56",7,13,99,99,320,86,NA,NA,3416,NA
"57",8,15,9,11,103,9,112,175,3715,4240
"58",11,13,14,99,66,86,64,NA,5226,6772
"59",12,99,18,99,323,NA,106,NA,5999,8878
"60",11,15,9,14,114,227,349,180,5274,4477
"61",15,10,10,99,26,24,52,NA,4668,4696
"62",7,12,8,99,170,153,230,NA,3266,3842
"63",8,12,8,11,184,153,343,40,3796,3955
"64",12,15,8,11,29,9,123,175,5705,3735
"65",10,15,11,99,206,9,332,NA,4850,5492
"66",11,13,99,11,249,86,NA,108,5409,5268
"67",7,15,7,11,181,9,230,175,3277,3326
"68",15,99,8,11,72,NA,73,108,7296,3685
"69",10,13,10,99,35,86,71,NA,4679,4715
"70",11,15,8,11,168,9,194,175,5328,3806
"71",9,99,99,15,1,NA,NA,232,4129,7456
"72",10,15,8,11,93,9,154,175,4737,3766
