"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,5,9,12,446,45,6,0,1994,4134
"2",5,99,99,11,226,NA,NA,0,2290,5160
"3",10,5,18,6,236,45,102,80,2109,2660
"4",5,11,4,5,147,121,157,31,2211,1705
"5",9,7,6,99,283,40,337,NA,3136,2917
"6",5,99,18,99,250,NA,102,NA,2314,8874
"7",4,11,6,12,284,121,255,0,1832,2835
"8",9,99,2,99,283,NA,458,NA,4411,974
"9",4,99,6,11,373,NA,359,0,1921,2939
"10",8,99,7,99,45,NA,306,NA,3657,3402
"11",7,99,3,99,42,NA,441,NA,3138,1473
"12",7,99,4,5,114,NA,245,2,3210,1793
"13",9,5,5,99,194,44,373,NA,2108,2437
"14",4,7,2,3,33,40,457,33,1581,973
"15",4,7,9,5,243,9,201,46,1791,2110
"16",5,7,4,99,229,40,236,NA,2293,1784
"17",7,99,4,99,113,NA,162,NA,3209,1710
"18",9,6,6,99,194,51,273,NA,2631,2853
"19",4,99,6,3,255,NA,236,38,1803,1070
"20",8,99,5,11,49,NA,184,0,3661,2248
"21",5,11,5,12,423,121,45,0,2487,2109
"22",6,4,4,99,62,52,363,NA,1600,1911
"23",7,99,6,4,49,NA,76,42,3145,1590
"24",3,5,4,12,65,45,49,0,1097,1597
"25",4,99,3,99,418,NA,34,NA,1966,1066
"26",9,99,9,99,114,NA,134,NA,4242,4262
"27",5,7,4,12,337,8,258,0,2401,1806
"28",6,99,3,99,118,NA,111,NA,2698,1143
"29",4,11,4,12,420,121,406,0,1968,1954
"30",6,7,4,99,37,40,401,NA,2617,1949
"31",99,6,3,12,NA,51,186,0,2631,1218
"32",4,99,3,99,26,NA,458,NA,1574,1490
"33",9,7,9,99,283,9,201,NA,3105,4329
"34",4,99,4,12,92,NA,52,0,1640,1600
"35",5,99,9,11,47,NA,203,0,2111,4331
"36",3,7,2,5,302,9,331,46,1334,847
"37",9,99,3,4,203,NA,170,61,4331,1202
"38",3,7,4,99,336,40,119,NA,1368,1667
"39",7,99,3,4,43,NA,171,42,3139,1203
"40",9,7,18,12,283,8,102,0,3104,5676
"41",4,7,5,99,63,40,2,NA,1611,2066
"42",10,99,7,99,20,NA,113,NA,4664,3209
"43",5,11,3,12,84,121,398,0,2148,1430
"44",6,99,5,99,259,NA,174,NA,2839,2238
"45",8,3,4,12,350,39,118,0,1071,1666
"46",9,99,10,99,194,NA,37,NA,4322,4681
"47",6,11,6,12,36,121,70,0,2616,2650
"48",4,11,3,12,199,121,331,0,1747,1363
"49",99,11,4,12,NA,121,97,0,5281,1645
"50",6,99,99,8,163,NA,NA,49,2743,3661
"51",5,11,18,4,313,121,102,46,2377,1594
"52",10,11,5,12,236,121,160,0,4880,2224
"53",5,3,18,5,84,21,102,31,1053,2095
"54",5,3,4,12,84,30,29,0,1062,1577
"55",4,11,6,12,47,121,173,0,1595,2753
"56",8,11,18,12,91,121,102,0,3703,5676
"57",6,7,18,4,249,8,102,61,2829,1609
"58",5,7,5,3,179,40,2,33,2243,1065
"59",7,11,12,99,307,121,263,NA,3403,5939
"60",7,99,6,99,180,NA,236,NA,3276,2816
"61",4,99,3,99,281,NA,277,NA,1829,1309
"62",4,99,3,4,16,NA,363,61,1564,1395
"63",8,6,7,5,45,90,306,2,2670,2066
"64",3,99,4,12,79,NA,156,0,1111,1704
"65",5,99,5,99,316,NA,283,NA,2380,2347
"66",6,7,6,99,62,40,362,NA,2642,2942
"67",6,11,3,12,71,121,16,0,2651,1048
"68",3,11,4,12,2,121,261,0,1034,1809
"69",6,11,4,12,115,121,2,0,2695,1550
"70",7,99,6,99,115,NA,76,NA,3211,2656
"71",8,99,18,3,350,NA,102,23,3962,1055
"72",5,7,4,99,266,40,34,NA,2330,1582
