"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",9,99,99,8,9,NA,NA,65,4137,3677
"2",6,99,8,10,104,NA,251,44,2684,3863
"3",7,5,3,5,216,45,174,27,2109,1206
"4",4,99,9,5,177,NA,236,27,1725,2091
"5",6,7,9,10,213,78,159,9,2793,4287
"6",9,99,6,10,113,NA,228,44,4241,2808
"7",8,99,7,10,277,NA,323,9,3889,3419
"8",6,99,5,16,362,NA,422,77,2942,2486
"9",5,99,9,10,339,NA,12,9,2403,4140
"10",7,99,5,10,134,NA,132,44,3230,2196
"11",6,99,4,10,373,NA,152,44,2953,1700
"12",7,99,4,10,216,NA,220,44,3312,1768
"13",9,6,9,10,113,45,96,44,2625,4224
"14",6,99,1,10,411,NA,199,9,2991,715
"15",6,99,7,10,137,NA,211,9,2717,3307
"16",5,99,6,10,299,NA,75,44,2363,2655
"17",7,99,4,10,131,NA,97,44,3227,1645
"18",8,6,5,10,277,9,408,9,2589,2472
"19",5,99,4,5,110,NA,61,27,2174,1609
"20",5,99,8,10,425,NA,119,9,2489,3731
"21",6,99,4,10,138,NA,403,44,2718,1951
"22",4,99,8,10,435,NA,375,9,1983,3987
"23",12,99,99,10,215,NA,NA,9,5891,4653
"24",6,99,3,5,70,NA,389,20,2650,1421
"25",7,5,5,10,241,74,301,44,2138,2365
"26",9,99,10,16,216,NA,43,77,4344,4687
"27",11,6,6,10,180,53,251,44,2633,2831
"28",11,99,5,10,180,NA,221,44,5340,2285
"29",5,99,5,10,217,NA,94,44,2281,2158
"30",7,99,7,10,77,NA,78,44,3173,3174
"31",5,99,7,10,211,NA,195,44,2275,3291
"32",6,99,3,5,320,NA,316,27,2900,1348
"33",5,99,99,16,134,NA,NA,106,2198,7846
"34",5,99,4,10,290,NA,71,44,2354,1619
"35",6,99,7,10,59,NA,4,44,2639,3100
"36",7,99,10,16,189,NA,192,77,3285,4836
"37",8,99,8,10,10,NA,355,9,3622,3967
"38",5,99,9,5,386,NA,96,20,2450,2084
"39",6,99,3,10,91,NA,116,44,2671,1148
"40",4,99,5,10,210,NA,363,44,1758,2427
"41",8,99,4,10,350,NA,45,44,3962,1593
"42",6,99,5,10,345,NA,46,44,2925,2110
"43",5,99,5,10,266,NA,227,9,2330,2291
"44",9,7,6,10,331,78,231,9,3174,2811
"45",5,99,3,10,153,NA,309,44,2217,1341
"46",5,99,4,10,231,NA,423,44,2295,1971
"47",9,99,8,10,331,NA,171,9,4459,3783
"48",8,99,7,16,51,NA,154,77,3663,3250
"49",6,99,3,5,204,NA,289,20,2784,1321
"50",10,99,5,10,290,NA,395,44,4934,2459
"51",5,99,5,10,361,NA,166,44,2425,2230
"52",7,99,4,10,92,NA,109,9,3188,1657
"53",6,99,9,10,161,NA,236,44,2741,4364
"54",3,99,4,10,466,NA,75,44,1498,1623
"55",5,99,99,10,369,NA,NA,44,2433,4688
"56",5,99,4,10,107,NA,382,44,2171,1930
"57",10,99,8,10,246,NA,282,9,4890,3894
"58",5,99,9,3,27,NA,236,6,2091,1038
"59",9,99,99,16,195,NA,NA,77,4323,7817
"60",6,99,6,10,113,NA,187,44,2693,2767
"61",3,99,1,10,344,NA,169,9,1376,685
"62",6,99,4,10,366,NA,332,44,2946,1880
"63",11,99,5,10,106,NA,74,44,5266,2138
"64",7,99,4,10,241,NA,279,44,3337,1827
"65",6,99,5,10,213,NA,73,44,2793,2137
"66",6,99,7,10,308,NA,384,9,2888,3480
"67",5,99,5,10,272,NA,32,44,2336,2096
"68",6,99,4,10,258,NA,233,9,2838,1781
"69",9,9,10,99,370,2,148,NA,4130,4792
"70",5,99,7,5,325,NA,384,43,2389,2107
"71",5,99,5,10,80,NA,406,44,2144,2470
"72",5,99,3,10,378,NA,192,44,2442,1224
