"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",15,99,5,14,0,NA,344,137,7224,2408
"2",4,99,13,99,0,NA,73,NA,1548,6265
"3",99,10,6,99,NA,53,416,NA,4697,2996
"4",2,99,11,7,0,NA,112,3,516,3099
"5",3,9,11,7,0,102,112,29,1032,3125
"6",2,99,7,3,0,NA,185,12,516,1044
"7",18,99,7,10,0,NA,132,141,8772,3228
"8",8,10,4,14,0,34,118,137,3612,1666
"9",3,99,9,14,0,NA,71,137,1032,4199
"10",2,99,6,99,0,NA,164,NA,516,2744
"11",2,99,5,14,0,NA,322,137,516,2386
"12",18,99,11,6,0,NA,203,16,8772,2596
"13",2,99,7,14,0,NA,150,137,516,3246
"14",2,6,8,99,0,19,267,NA,516,3879
"15",8,99,6,14,373,NA,399,137,3985,2979
"16",3,7,10,14,0,69,163,137,1032,4807
"17",2,7,6,99,0,92,55,NA,516,2635
"18",2,99,6,14,0,NA,149,137,516,2729
"19",2,8,8,14,0,55,303,137,516,3915
"20",99,99,11,99,NA,NA,203,NA,NA,5363
"21",3,8,7,14,0,125,296,137,1032,3392
"22",2,99,4,99,0,NA,209,NA,516,1757
"23",3,9,5,7,0,102,224,29,1032,2288
"24",3,9,4,8,0,87,192,9,1032,1740
"25",3,99,4,14,0,NA,283,137,1032,1831
"26",3,9,8,14,0,139,273,137,1032,3885
"27",7,99,7,14,0,NA,126,137,3096,3222
"28",16,99,10,4,0,NA,111,31,7740,1579
"29",2,99,7,14,0,NA,85,137,516,3181
"30",3,99,8,14,0,NA,143,137,1032,3755
"31",8,99,7,14,0,NA,91,137,3612,3187
"32",3,99,7,14,0,NA,311,137,1032,3407
"33",3,99,6,14,0,NA,206,137,1032,2786
"34",3,99,5,99,0,NA,340,NA,1032,2404
"35",3,9,11,8,0,87,112,9,1032,3621
"36",2,99,99,14,0,NA,NA,137,516,6845
"37",2,99,4,7,0,NA,137,3,516,1685
"38",3,9,6,7,0,87,305,29,1032,2885
"39",14,99,3,14,0,NA,311,137,6708,1343
"40",16,99,9,14,0,NA,174,137,7740,4302
"41",2,99,8,5,0,NA,345,63,516,2127
"42",3,99,8,14,0,NA,239,137,1032,3851
"43",3,9,3,14,0,139,323,137,1032,1355
"44",2,99,7,99,0,NA,17,NA,516,3113
"45",3,99,3,13,0,NA,366,148,1032,1398
"46",2,99,9,14,0,NA,317,137,516,4445
"47",4,99,7,99,0,NA,276,NA,1548,3372
"48",2,99,9,99,0,NA,207,NA,516,4335
"49",2,6,4,7,0,42,294,3,516,1842
"50",2,8,11,14,0,96,112,137,516,5272
"51",2,99,6,14,0,NA,222,137,516,2802
"52",2,99,7,5,0,NA,17,59,516,2123
"53",99,99,10,14,NA,NA,111,137,NA,4755
"54",3,8,5,14,0,125,247,137,1032,2311
"55",2,99,7,14,0,NA,185,137,516,3281
"56",4,99,8,5,0,NA,216,72,1548,2136
"57",2,99,7,99,0,NA,108,NA,516,3204
"58",8,10,6,14,0,34,67,137,3612,2647
"59",3,99,99,13,0,NA,NA,148,1032,6340
"60",4,99,8,99,0,NA,216,NA,1548,3828
"61",3,9,5,8,0,139,288,9,1032,2352
"62",3,99,7,14,0,NA,131,137,1032,3227
"63",2,99,5,99,0,NA,291,NA,516,2355
"64",16,99,6,99,0,NA,72,NA,7740,2652
"65",3,99,11,8,0,NA,112,11,1032,3623
"66",8,99,6,14,0,NA,390,137,3612,2970
"67",18,99,11,5,0,NA,203,73,8772,2137
"68",2,99,4,7,0,NA,265,3,516,1813
"69",4,99,8,99,0,NA,345,NA,1548,3957
"70",8,10,6,4,0,34,67,18,3612,1566
"71",3,9,3,14,0,139,278,137,1032,1310
"72",2,99,6,99,0,NA,367,NA,516,2947
