"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",6,99,5,99,140,NA,304,NA,2720,2368
"2",6,9,9,7,234,35,5,83,2814,3179
"3",6,99,1,99,342,NA,252,NA,2922,768
"4",13,7,4,99,277,70,273,NA,3166,1821
"5",12,8,5,99,225,36,221,NA,3648,2285
"6",7,11,12,99,204,155,147,NA,3300,5823
"7",5,9,7,99,413,8,32,NA,2477,3128
"8",7,99,6,99,335,NA,173,NA,3431,2753
"9",7,9,3,7,264,35,360,83,3360,1392
"10",7,99,8,6,287,NA,114,37,3383,2617
"11",6,9,6,99,30,35,89,NA,2610,2669
"12",12,9,5,99,225,35,31,NA,4163,2095
"13",6,11,9,99,264,155,332,NA,2844,4460
"14",5,9,9,7,70,35,5,100,2134,3196
"15",8,99,8,5,2,NA,334,20,3614,2084
"16",6,99,1,99,123,NA,329,NA,2703,845
"17",12,99,6,99,225,NA,241,NA,5901,2821
"18",8,99,6,99,118,NA,262,NA,3730,2842
"19",12,8,8,5,225,26,90,57,3638,2121
"20",6,7,1,99,252,84,239,NA,2832,755
"21",8,99,8,99,275,NA,308,NA,3887,3920
"22",6,11,12,4,265,155,147,40,2845,1588
"23",5,99,5,99,288,NA,213,NA,2352,2277
"24",4,5,10,6,326,77,279,70,1874,2650
"25",8,5,4,99,2,21,17,NA,2085,1565
"26",12,7,5,99,225,84,300,NA,3180,2364
"27",7,99,7,99,343,NA,394,NA,3439,3490
"28",9,99,7,99,330,NA,314,NA,4458,3410
"29",7,11,1,99,178,155,303,NA,3274,819
"30",6,99,6,99,295,NA,153,NA,2875,2733
"31",8,11,5,9,325,155,69,21,3937,2133
"32",6,11,10,7,297,155,239,39,2877,3135
"33",9,6,4,99,279,79,185,NA,2659,1733
"34",6,99,8,99,213,NA,361,NA,2793,3973
"35",6,99,1,99,259,NA,254,NA,2839,770
"36",6,99,6,99,255,NA,219,NA,2835,2799
"37",7,9,9,99,123,35,5,NA,3219,4133
"38",5,99,5,99,244,NA,259,NA,2308,2323
"39",99,9,10,99,NA,8,239,NA,4136,4883
"40",12,7,10,99,225,84,121,NA,3180,4765
"41",7,99,4,99,390,NA,268,NA,3486,1816
"42",9,11,6,99,279,155,402,NA,4407,2982
"43",7,99,5,6,371,NA,162,70,3467,2226
"44",9,11,8,99,98,155,92,NA,4226,3704
"45",7,99,1,99,372,NA,255,NA,3468,771
"46",7,99,8,5,272,NA,90,34,3368,2098
"47",7,5,5,99,372,77,283,NA,2141,2347
"48",7,9,4,99,199,8,336,NA,3295,1884
"49",99,11,11,9,NA,155,84,21,5315,4149
"50",7,99,7,99,275,NA,199,NA,3371,3295
"51",6,11,5,99,57,155,385,NA,2637,2449
"52",9,11,5,99,277,155,354,NA,4405,2418
"53",99,7,6,99,NA,75,256,NA,3171,2836
"54",7,9,8,99,365,35,216,NA,3461,3828
"55",7,9,9,99,31,35,173,NA,3127,4301
"56",9,99,8,99,209,NA,90,NA,4337,3702
"57",4,5,10,99,359,77,279,NA,1907,4923
"58",7,11,4,99,340,155,244,NA,3436,1792
"59",7,5,8,99,372,47,371,NA,2111,3983
"60",8,99,6,99,98,NA,139,NA,3710,2719
"61",8,11,4,99,169,155,58,NA,3781,1606
"62",7,99,6,99,219,NA,107,NA,3315,2687
"63",4,5,7,99,93,77,366,NA,1641,3462
"64",13,99,4,99,277,NA,112,NA,6469,1660
"65",6,9,5,7,121,35,297,83,2701,2361
"66",8,11,5,99,53,155,144,NA,3665,2208
"67",13,6,5,99,277,52,303,NA,2632,2367
"68",8,5,7,99,224,66,319,NA,2130,3415
"69",6,7,8,99,371,70,334,NA,2951,3946
"70",8,9,6,99,224,35,350,NA,3836,2930
"71",6,99,5,99,272,NA,288,NA,2852,2352
"72",8,99,8,5,175,NA,114,37,3787,2101
