TMask1.RESP[Trial],TMask2.RESP[Trial],TMask3.RESP[Trial],TMask4.RESP[Trial],TMask5.RESP[Trial],TMask6.RESP[Trial],TMask7.RESP[Trial],TMask8.RESP[Trial],TMask9.RESP[Trial],TMask10.RESP[Trial],TMask11.RESP[Trial],TMask12.RESP[Trial],TMask13.RESP[Trial],TMask14.RESP[Trial],TMask15.RESP[Trial],TMask16.RESP[Trial],TMask17.RESP[Trial],TMask18.RESP[Trial],TMask1.RT[Trial],TMask2.RT[Trial],TMask3.RT[Trial],TMask4.RT[Trial],TMask5.RT[Trial],TMask6.RT[Trial],TMask7.RT[Trial],TMask8.RT[Trial],TMask9.RT[Trial],TMask10.RT[Trial],TMask11.RT[Trial],TMask12.RT[Trial],TMask13.RT[Trial],TMask14.RT[Trial],TMask15.RT[Trial],TMask16.RT[Trial],TMask17.RT[Trial],TMask18.RT[Trial]
0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,304,0,0,334,0,0,0,147,0,0,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,121,84,0,0,0,0,0,0,0
{SPACE},0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,252,0,0,0,0,0,0,308,5,121,84,0,0,0,0,0,0,0
0,0,0,{SPACE},0,{SPACE},0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,273,0,402,0,92,0,0,0,147,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,221,0,0,90,5,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,239,84,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,173,0,114,0,0,84,0,0,0,0,0,0,0
0,0,{SPACE},0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,5,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,89,0,216,5,121,84,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,239,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,147,0,0,0,0,0,0
{SPACE},0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,329,0,0,0,0,107,394,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,241,0,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,262,394,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,121,84,0,0,0,0,0,0,0
{SPACE},0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,5,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,{SPACE},{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,213,0,0,90,5,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,84,0,0,0,0,0,0,0
0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,17,304,0,0,334,0,0,0,147,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,{SPACE},{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,173,121,84,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,394,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,314,334,0,0,0,147,0,0,0,0,0,0
{SPACE},0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,153,394,114,0,0,84,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,84,0,0,0,0,0,0,0
